cluster_id,representative_feature,column_name,feature_group,abs_corr_with_representative,drop_for_pruned,threshold,claim_boundary
corr_cluster_01,building_density,building_density,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_01,building_density,building_pixel_fraction_v10,building_canyon_morphology,0.9995316265809348,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_01,building_density,open_pixel_fraction_v10,other_compact_proxy,0.9995316265809358,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_01,building_density,v10_building_density,building_canyon_morphology,1.0,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_02,shade_fraction,shade_fraction,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_02,shade_fraction,shade_fraction_umep_10_16_open_v10,shade_svf_radiative_proxy,1.0,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_02,shade_fraction,shade_fraction_umep_13_15_open_v10,shade_svf_radiative_proxy,0.9915626764736816,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_03,water_edge_or_water_fraction,water_edge_contact_frac,water_park_edge_context,1.0,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_03,water_edge_or_water_fraction,water_edge_or_water_fraction,water_park_edge_context,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_04,svf_or_open_sky,svf_or_open_sky,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_04,svf_or_open_sky,svf_umep_mean_open_v10,shade_svf_radiative_proxy,0.9907673674243237,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_05,open_high_svf_low_shade_frac,open_high_svf_low_shade_frac,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_05,open_high_svf_low_shade_frac,sunlit_hot_pocket_proxy_frac,shade_svf_radiative_proxy,1.0,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_06,overhead_fraction_covered_walkway,overhead_fraction_covered_walkway,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_06,overhead_fraction_covered_walkway,ped_access_shade_frac_proxy,shade_svf_radiative_proxy,0.9880900699907617,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_07,grass_fraction,grass_fraction,vegetation_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_07,grass_fraction,park_edge_contact_frac,water_park_edge_context,1.0,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_08,overhead_fraction,overhead_fraction,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_08,overhead_fraction,overhead_shade_proxy,overhead_structure_proxy,0.9923639941596597,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_09,road_or_hardscape_fraction,hardscape_edge_contact_frac,water_park_edge_context,0.9991379949373038,yes,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
corr_cluster_09,road_or_hardscape_fraction,road_or_hardscape_fraction,hardscape_impervious_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,typology_support_count,typology_support_count,typology_role_context,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,typology_shade_interaction,typology_shade_interaction,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,tree_or_gvi_fraction,tree_or_gvi_fraction,vegetation_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,tree_near_tall_building_frac,tree_near_tall_building_frac,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,tree_building_overlap_proxy,tree_building_overlap_proxy,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,svf_umep_selected,svf_umep_selected,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,shade_fraction_umep_selected,shade_fraction_umep_selected,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,ped_access_shade_length_m_proxy,ped_access_shade_length_m_proxy,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,overhead_total_area_m2,overhead_total_area_m2,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,overhead_patch_count,overhead_patch_count,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,overhead_mean_patch_area_m2,overhead_mean_patch_area_m2,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,overhead_fraction_viaduct,overhead_fraction_viaduct,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,overhead_fraction_pedestrian_bridge,overhead_fraction_pedestrian_bridge,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,neighbourhood_shade_mean,neighbourhood_shade_mean,shade_svf_radiative_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,neighbourhood_overhead_frac,neighbourhood_overhead_frac,overhead_structure_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,neighbourhood_open_frac,neighbourhood_open_frac,other_compact_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,impervious_or_built_fraction,impervious_or_built_fraction,hardscape_impervious_proxy,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,hour_sgt,hour_sgt,context_forcing_time,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,height_roughness_iqr_m,height_roughness_iqr_m,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,height_asymmetry_idx,height_asymmetry_idx,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,dsm_building_height_p90_m_v10,dsm_building_height_p90_m_v10,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,dsm_building_height_mean_m_v10,dsm_building_height_mean_m_v10,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
singleton,building_height_or_canyon_proxy,building_height_or_canyon_proxy,building_canyon_morphology,1.0,no,0.985,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
