input_name,path,required,exists,file_size_bytes,status,notes,claim_boundary
b87d_n300_label_path,outputs/v12_surrogate/b87d_n300_label_integration/b87d_n300_pairwise_delta_by_cell_hour.csv,yes,yes,1480363,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87d_status_path,outputs/v12_surrogate/b87d_n300_label_integration/B87D_STATUS.md,yes,yes,697,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87d_report_path,outputs/v12_surrogate/b87d_n300_label_integration/b87d_report.md,yes,yes,1787,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_status_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/B87E_STATUS.md,yes,yes,791,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_report_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_report.md,yes,yes,2677,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_feature_matrix_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_feature_matrix.csv,yes,yes,19535317,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_model_metrics_by_split_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_model_metrics_by_split.csv,yes,yes,53914,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_model_metrics_summary_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_model_metrics_summary.csv,yes,yes,25100,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_predictions_oof_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_predictions_oof.csv,yes,yes,10102497,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_predictions_holdout_path,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_predictions_holdout.csv,yes,yes,19845704,PASS,required B87D/B87E review input,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
