input_name,path,exists,file_size_bytes,status,notes,claim_boundary
b87c_manifest_path,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/b87c_manifest.csv,yes,2830735,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
b87c_manifest_audit_path,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/b87c_manifest_audit.csv,yes,2530,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
b87c_run_log_path,C:/OpenHeat-local/solweig/b87c_n300/run_logs/b87c_qgis_solweig_run_log.csv,yes,3053840,PASS,local-only path read allowed,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
b87c_output_root,C:/OpenHeat-local/solweig/b87c_n300/outputs,yes,0,PASS,local-only path read allowed,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
f5_pairwise_label_path,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv,yes,405931,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
f5_cell_hour_summary_path,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_cell_hour_summary.csv,yes,427651,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
f5_raster_stats_path,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_raster_stats.csv,yes,1439230,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
f5_raster_inventory_path,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_raster_inventory.csv,yes,1183716,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
f5_label_merge_plan_path,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,yes,818,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
b87b_new_candidate_sample_index_path,outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_new_candidate_sample_index.csv,yes,80045,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
b86g3_n300_v4_design_path,outputs/v12_surrogate/b8_6g3_true_vector_source_review/b86g3_n300_design_v4_source_reviewed.csv,yes,162771,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
postrun_summary_1,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary/B87C_FULL150_COMPLETION_NOTE.md,yes,626,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
postrun_summary_2,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary/b87c_full150_run_summary.csv,yes,150,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
postrun_summary_3,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary/b87c_full150_status_counts.csv,yes,62,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
postrun_summary_4,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary/b87c_full150_success_by_scenario.csv,yes,60,PASS,repo compact artifact,"SOLWEIG Tmrt simulated radiative output only; delta is overhead_as_canopy - base; not observed truth, not WBGT, not AOI/B9 prediction, not hazard map, not risk map, and not causal evidence."
