input_key,path,exists,file_size_bytes,row_count,column_count,unique_cells,forcing_day_count,hour_count,split_family_count,missing_required_columns,claim_boundary
b86d_oof_predictions_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_oof_predictions.csv,True,3851638,7310,27,150.0,2.0,5.0,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_combined_metrics_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_combined_pipeline_metrics.csv,True,8981823,8064,46,,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_metrics_by_split_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_metrics_by_split.csv,True,10892,17,27,,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_spatial_metrics_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_metrics_by_spatial_bin.csv,True,1660,4,15,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_typology_metrics_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_metrics_by_typology.csv,True,6660,19,15,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_anchor_diagnostics_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_anchor_cell_diagnostics.csv,True,6611,21,12,5.0,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_neutral_diagnostics_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_neutral_boundary_diagnostics.csv,True,11256,39,14,9.0,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86d_worst_error_path,outputs/v12_surrogate/b8_6d_two_stage_surrogate/b86d_worst_error_inventory.csv,True,46237,100,17,15.0,2.0,5.0,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86e_spatial_failure_path,outputs/v12_surrogate/b8_6e_spatial_feature_closure/b86e_spatial_holdout_failure_summary.csv,True,1636,4,14,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
b86e_spatial_bin_inventory_path,outputs/v12_surrogate/b8_6e_spatial_feature_closure/b86e_spatial_bin_failure_inventory.csv,True,48881,150,15,150.0,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
