source_table,source_path,column_name,dataset_column,dtype,non_null_count,missing_fraction,unique_count,classification,predictor_allowed,feature_group_hint,rejection_reason,leakage_guard,claim_boundary
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,cell_id,cell_id,string,981,0.0,981,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,in_n24_completed,in_n24_completed,bool,981,0.0,2,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,typology_label,typology_label,object,981,0.0,19,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,primary_role,primary_role,object,24,0.9755351681957186,7,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,secondary_roles,secondary_roles,object,21,0.9785932721712538,19,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,source_feature_completeness,source_feature_completeness,float64,981,0.0,1,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,sampling_feature_completeness,sampling_feature_completeness,float64,981,0.0,1,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_x,centroid_x,float64,981,0.0,29,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_y,centroid_y,float64,981,0.0,34,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,svf_or_open_sky,svf_or_open_sky,float64,981,0.0,981,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,shade_fraction,shade_fraction,float64,981,0.0,975,safe,True,overhead_shade,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_density,building_density,float64,981,0.0,895,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_height_or_canyon_proxy,building_height_or_canyon_proxy,float64,981,0.0,77,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,road_or_hardscape_fraction,road_or_hardscape_fraction,float64,981,0.0,715,safe,True,road_hardscape,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
