register_id,batch_id,role,dimension_or_gate,status,severity,blocker_status,notes,evidence,claim_boundary
M001,b85_f5_n150_multiforcing,final_ml_label_source,grid_geometry_path,WARN_DERIVED_GRID_FEATURE_SOURCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,F5 references derived v10 feature/sample artifacts; planned B87C locks v07 geometry. Review lineage if geometry edits are suspected.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M002,b85_f5_n150_multiforcing,final_ml_label_source,base_svf_source_or_generation_method,WARN_REVIEW_VALUE_DIFFERENCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M003,b85_f5_n150_multiforcing,final_ml_label_source,overhead_as_canopy_rule,WARN_REVIEW_VALUE_DIFFERENCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M004,b85_f5_n150_multiforcing,final_ml_label_source,DEM mode,WARN_REVIEW_VALUE_DIFFERENCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M005,b85_f5_n150_multiforcing,final_ml_label_source,per-cell asset layout,WARN_REVIEW_VALUE_DIFFERENCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M006,b85_f5_n150_multiforcing,final_ml_label_source,output target / Tmrt extraction convention,WARN_REVIEW_VALUE_DIFFERENCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M007,b85_f5_n150_multiforcing,final_ml_label_source,postrun label extraction convention,WARN_REVIEW_VALUE_DIFFERENCE,WARN_REVIEW,review_not_blocking_unless_lineage_changed,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md;configs/v12/systemb_b85_f5_n150_multiforcing.yaml;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_n150_manifest.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv;outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_label_merge_plan.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M008,b85_f3c_n24,formal_validation_label_source,grid_geometry_path,WARN_DERIVED_GRID_FEATURE_SOURCE,INFO,not_blocking,F5 references derived v10 feature/sample artifacts; planned B87C locks v07 geometry. Review lineage if geometry edits are suspected.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M009,b85_f3c_n24,formal_validation_label_source,base_svf_source_or_generation_method,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M010,b85_f3c_n24,formal_validation_label_source,overhead_as_canopy_rule,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
