candidate_id,cell_id,typology_label,role,required,selection_status,expected_direction,notes
seed_001,TP_0565,confident_hot_anchor,v10-epsilon continuity hot anchor,yes,seed,high tmrt_p90; base/overhead delta near zero or small,Robust hot anchor from v10-epsilon.
seed_002,TP_0986,clean_confident_hot_anchor_null_control,clean null-control hot anchor,yes,seed,high tmrt_p90; base and overhead scenarios identical or near-identical,Focus-clean and tile-clean null control from v10-epsilon.
seed_003,TP_0088,overhead_confounded_transport_deck,overhead-confounded case,yes,seed,large Tmrt reduction under overhead_as_canopy,v10-gamma rank-1 overhead-confounded case.
seed_004,TP_0916,overhead_saturated,saturated overhead case,yes,seed,large Tmrt reduction; inspect within-cell p90 vs mean,v10-epsilon saturated overhead case.
seed_005,TP_0433,tree_shaded_reference,shaded reference,yes,seed,low tmrt_p90; stable shaded reference,Natural canopy / shaded reference from v10-epsilon.
need_006,TP_0059,open_paved_high_svf,additional typology,yes,proposed_feature_screen,high tmrt_p90; strong direct sun exposure,"Feature-screened from v10 grid: transport; SVF_open=0.9486; shade_13_15=0.0000; impervious=0.6826; open_pixel_fraction=1.0000. Manual map/geometry QA still required before SOLWEIG."
need_007,TP_0857,hdb_canyon,additional typology,yes,proposed_feature_screen,moderate to high; depends on canyon shade/orientation,"Feature-screened residential dense canyon candidate: building_pixel_fraction=0.6505; SVF_open=0.0418; shade_13_15=0.8112; building_p90=15m. Confirm HDB/canyon interpretation in GIS."
need_008,TP_0828,wall_adjacent,error stratum,yes,proposed_feature_screen,inspect wall longwave / solar-angle behaviour,"Feature-screened wall-adjacent/low-SVF error-stratum candidate: residential; building_pixel_fraction=0.5795; SVF_open=0.0104; shade_13_15=0.8206; max height flag=117m requires geometry QA."
need_009,TP_0802,near_water,additional typology,optional,proposed_feature_screen,context-dependent; not assumed cool without shade,"Feature-screened water-edge/water-cell candidate: land_use_hint=water; water_distance=0m; water_fraction=0.6698; SVF_open=0.6990. Confirm pedestrian relevance before SOLWEIG."
need_010,TP_0835,grass_or_park_open,additional typology,optional,proposed_feature_screen,can be hot if unshaded; do not assume grass cools Tmrt,"Feature-screened grass/park diagnostic: grass_fraction=0.9880; open_pixel_fraction=1.0000; SVF_open=0.0293; shade_13_15=0.9246. May represent shaded grass rather than open grass; confirm in GIS."
need_011,TP_0366,exposed_bus_stop_waiting_node,future exposure interface,optional,proposed_feature_screen,high policy relevance; exposure layer not yet integrated,"Feature-screened exposed waiting-node candidate: bus_stop_count=21; SVF_open=0.8523; shade_13_15=0.0192; road_fraction=0.2051. Exposure relevance only; do not call risk."
need_012,TP_0492,dense_shaded_low_svf,additional typology,yes,proposed_feature_screen,potentially lower Tmrt despite density,"Feature-screened dense shaded low-SVF candidate: SVF_open=0.0276; shade_13_15=0.8866; tree_canopy_fraction=0.6379; building_pixel_fraction=0.3347. Tests high-density-not-automatically-high-hazard claim."
