column_name,feature_group,included_in_b87e_main,non_null_count,missing_fraction,unique_values,numeric_ratio,zero_variance,high_missing_pruned_threshold,high_cardinality_categorical,leakage_or_policy_reason,quality_status,high_dimensional_note,claim_boundary
row_id,other_compact_proxy,no,3000,0.0,3000,0.0,no,no,yes,,WARN,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
cell_id,other_compact_proxy,no,3000,0.0,300,0.0,no,no,yes,direct_cell_id,WARN,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
forcing_day_id,context_forcing_time,yes,3000,0.0,2,0.0,no,no,no,,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
date,context_forcing_time,no,3000,0.0,2,0.0,no,no,no,,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
hour_sgt,context_forcing_time,yes,3000,0.0,5,1.0,no,no,no,,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
sample_group,metadata_design_or_lineage,no,3000,0.0,2,0.0,no,no,no,diagnostic_only_metadata,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
label_source,metadata_design_or_lineage,no,3000,0.0,2,0.0,no,no,no,diagnostic_only_metadata,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
protocol_id,metadata_design_or_lineage,no,3000,0.0,2,0.0,no,no,no,diagnostic_only_metadata,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
base_tmrt_mean_c,other_compact_proxy,no,3000,0.0,3000,1.0,no,no,no,target_or_tmrt_component,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
overhead_tmrt_mean_c,overhead_structure_proxy,no,3000,0.0,3000,1.0,no,no,no,target_or_tmrt_component,PASS,377 columns / 300 cells; main models use controlled feature sets,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
