cell_id,diagnostic_role,split_family,spatial_bin,typology,mean_true_delta_tmrt_p90_c,mean_predicted_delta_tmrt_p90_c,mean_abs_error,failure_rate,failure_type,severity,b86f_action,claim_boundary
TP_0037,anchor_reference,spatial_holdout,west_south,other,-0.3974282999999999,0.0,0.3974282999999999,1.0,anchor-underprediction,high,replicate_anchor_like_context_and_keep_as_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0141,anchor_reference,spatial_holdout,east_south,residential,-0.8131812,-0.6340983459258387,0.2583388367803839,0.9,anchor-underprediction,high,replicate_anchor_like_context_and_keep_as_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0433,anchor_reference,spatial_holdout,east_south,tree_shaded_reference,-0.807315,-0.1869755418208471,0.6203394581791528,1.0,anchor-underprediction,high,replicate_anchor_like_context_and_keep_as_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0542,anchor_reference,spatial_holdout,east_north,river_edge_shaded_walkway,-0.4945845,0.0,0.4945845,1.0,anchor-underprediction,high,replicate_anchor_like_context_and_keep_as_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0857,anchor_reference,spatial_holdout,east_north,hdb_canyon,-2.5391688,0.0,2.5391688,1.0,anchor-underprediction,high,replicate_anchor_like_context_and_keep_as_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0115,known_neutral_reference,spatial_holdout,east_south,water,0.0,-1.1367526363139526,1.1367526363139526,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0301,known_neutral_reference,typology_holdout,west_south,residential,0.0,-1.109900708381649,1.109900708381649,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0326,known_neutral_reference,spatial_holdout,west_south,stable_high_rise_residential_estate,0.0002966,-0.9313044202665072,0.9316010202665072,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0366,known_neutral_reference,missing_context,east_south,exposed_bus_stop_waiting_node,,,,,neutral-context-missing,review,keep_in_neutral_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0492,known_neutral_reference,spatial_holdout,east_north,dense_shaded_low_svf,0.0,-0.5795381223498894,0.5795381223498894,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0565,known_neutral_reference,missing_context,west_north,confident_hot_anchor,,,,,neutral-context-missing,review,keep_in_neutral_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0676,known_neutral_reference,typology_holdout,west_north,residential,-0.0201947,-1.2774906500153125,1.2572959500153125,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0960,known_neutral_reference,missing_context,west_north,park_open_space,,,,,neutral-context-missing,review,keep_in_neutral_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0986,known_neutral_reference,missing_context,east_north,clean_confident_hot_anchor_null_control,,,,,neutral-context-missing,review,keep_in_neutral_gate,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0005,near_zero_false_promotion_context,typology_holdout,west_south,residential,0.0,-1.63714882912494,1.63714882912494,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0799,near_zero_false_promotion_context,typology_holdout,east_north,residential,-0.0191531,-1.641670082218487,1.622516982218487,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0379,near_zero_false_promotion_context,typology_holdout,west_south,residential,-0.0334,-1.6243025792691936,1.5909025792691935,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0318,near_zero_false_promotion_context,spatial_holdout,east_south,water,0.0,-1.3938993785688905,1.3938993785688905,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0254,near_zero_false_promotion_context,typology_holdout,east_south,residential,-0.026644,-1.3982844256634992,1.3716404256634993,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0053,near_zero_false_promotion_context,typology_holdout,east_south,residential,-0.0038602999999999,-1.342373530863693,1.338513230863693,1.0,neutral-false-promotion,high,replicate_neutral_boundary_and_abstain_when_promoted,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
