feature_family,currently_available,computable_from_existing_compact_tables,computable_from_existing_vector_tables_without_raster,requires_new_data_or_processing,expected_benefit,evidence_from_failure_audit,recommended_lane,claim_boundary
pedestrian-accessible shaded fraction,yes,yes,yes,yes,high,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,B8.6f safe physical feature upgrade,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
connected shade corridor / shade continuity,no,no,yes,yes,high,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,targeted feature acquisition / B8.6f preflight,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
overhead geometry shape descriptors,yes,yes,yes,yes,medium-high,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,B8.6f safe physical feature upgrade,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
sunlit-hot-pocket area fraction,partial,yes,unknown,yes,high,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,external compact feature acquisition,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
local boundary / edge context,yes,yes,yes,yes,medium,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,B8.6f safe physical feature upgrade,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
neighbourhood-scale context,yes,yes,yes,yes,medium,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,targeted N300 design,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
tree/building shadow interaction,partial,yes,yes,yes,high,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,B8.6f engineered feature probe,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
canyon orientation / height roughness,partial,yes,yes,yes,medium-high,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,B8.6f feature acquisition,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
typology-specific geometry,yes,yes,yes,yes,medium,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,targeted N300 typology balance,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
safe coordinate-context diagnostic,partial,yes,yes,no,diagnostic-only,Worst spatial bins: west_north|west_south|east_south; worst typology-spatial cells: residential@west_north|civic_institutional@west_south|residential@west_south; TP_0857 anchor underprediction; TP_0005 false-promotion context.,diagnostic only; not production predictor,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
