selection_rank,cell_id,final_selection_status,selection_tier,primary_role,secondary_roles,typology_label,rationale,evidence_summary,expected_target_test,expected_p90_p95_max_question,expected_threshold_area_question,expected_overhead_question,expected_pedestrian_relevance_question,caveat,source_files
1,TP_0059,selected_core,core8,core_continuity,open_paved_hardscape|covered_walkway_or_pedestrian_overhead|grass_or_open_park|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,open_paved_hardscape_parking_lot,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.949; shade=0.000; bldg_density=0.000; overhead=0.110; p90=62.027,p90 provisional target with mean/p75/p95/max companions,Does p90 remain stable when p95/max emphasize a different upper-tail behavior?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,core8|v12_candidate_seed|v10_non_raster_features
2,TP_0326,selected_core,core8,core_continuity,street_canyon_wall_adjacent|covered_walkway_or_pedestrian_overhead|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,stable_high_rise_residential_estate,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.250; shade=0.495; bldg_density=0.230; overhead=0.013; p90=60.513,p90 provisional target with mean/p75/p95/max companions,Does p90 remain stable when p95/max emphasize a different upper-tail behavior?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,core8|v10_non_raster_features
3,TP_0366,selected_core,core8,core_continuity,open_paved_hardscape|covered_walkway_or_pedestrian_overhead|school_gate_bus_stop_waiting_node|pedestrian_relevance_probe|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,school_gate_bus_stop_waiting_node,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.852; shade=0.019; bldg_density=0.048; overhead=0.010; p90=61.633,p90 provisional target with mean/p75/p95/max companions,Does p90 remain stable when p95/max emphasize a different upper-tail behavior?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Does the cell represent a pedestrian-relevant waiting/walking context?,Design-only selection; requires human map QA before execution.,core8|v12_candidate_seed|v10_non_raster_features
4,TP_0542,selected_core,core8,core_continuity,shaded_or_canopy_reference|street_canyon_wall_adjacent|covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|water_edge_or_blue_green|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,river_edge_shaded_walkway,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.078; shade=0.888; bldg_density=0.042; overhead=0.240; p90=55.485,p90 provisional target with mean/p75/p95/max companions,Does p90 remain stable when p95/max emphasize a different upper-tail behavior?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,core8|v10_non_raster_features
5,TP_0565,selected_core,core8,core_continuity,confident_hot_anchor_continuity|school_gate_bus_stop_waiting_node|pedestrian_relevance_probe|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,school_gate_road_edge_hot_anchor,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.761; shade=0.047; bldg_density=0.332; overhead=0.000; p90=62.353,p90 provisional target with mean/p75/p95/max companions,Does p90 remain stable when p95/max emphasize a different upper-tail behavior?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Does the cell represent a pedestrian-relevant waiting/walking context?,Design-only selection; requires human map QA before execution.,core8|v10_epsilon_continuity|v12_candidate_seed|v10_non_raster_features
6,TP_0627,selected_core,core8,core_continuity,shaded_or_canopy_reference|street_canyon_wall_adjacent|threshold_area_probe|overhead_sensitivity_probe,street_canyon_wall_adjacent_low_svf,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.421; shade=0.137; bldg_density=0.519; overhead=0.000; p90=61.818,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,core8|v10_non_raster_features
7,TP_0835,selected_core,core8,core_continuity,shaded_or_canopy_reference|street_canyon_wall_adjacent|grass_or_open_park|overhead_sensitivity_probe,grass_park_green_mixed,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.029; shade=0.925; bldg_density=0.000; overhead=0.000; p90=35.600,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,core8|v12_candidate_seed|v10_non_raster_features
8,TP_0986,selected_core,core8,core_continuity,confident_hot_anchor_continuity|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,low_rise_residential_null_control,Retained Core 8 continuity cell for direct comparison with B1.,svf=0.740; shade=0.028; bldg_density=0.428; overhead=0.000; p90=62.464,p90 provisional target with mean/p75/p95/max companions,Does p90 remain stable when p95/max emphasize a different upper-tail behavior?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,core8|v10_epsilon_continuity|v12_candidate_seed|v10_non_raster_features
9,TP_0088,selected_legacy_diagnostic,added16,overhead_confounded_legacy_diagnostic,open_paved_hardscape|covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|threshold_area_probe|overhead_sensitivity_probe,overhead_confounded_transport_deck,Legacy overhead-confounded diagnostic retained as sensitivity-only probe.,svf=0.943; shade=0.000; bldg_density=0.000; overhead=0.732,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_epsilon_continuity|v12_candidate_seed|v10_non_raster_features
10,TP_0916,selected_legacy_diagnostic,added16,overhead_confounded_legacy_diagnostic,open_paved_hardscape|covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|threshold_area_probe|overhead_sensitivity_probe,overhead_saturated,Legacy overhead-confounded diagnostic retained as sensitivity-only probe.,svf=0.896; shade=0.004; bldg_density=0.268; overhead=1.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Does future threshold-area exceedance identify the same cells as p90?,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_epsilon_continuity|v12_candidate_seed|v10_non_raster_features
