cell_id,selection_group,flag,risk_score_component,manual_review_required,notes
TP_0059,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0088,selected_n150,extreme_outlier_feature,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0088,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0098,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0254,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0301,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0326,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0542,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0565,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0575,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0575,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0676,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0745,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0349,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0864,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0257,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0379,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0889,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0569,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0089,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0587,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0170,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0669,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0808,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0808,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0584,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0403,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0412,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0050,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0293,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0438,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0475,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0454,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0454,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0967,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0226,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0018,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0948,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0871,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0592,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0908,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0822,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0053,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0286,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0600,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0936,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0183,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0670,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0378,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0082,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0718,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0023,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0707,selected_n150,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0746,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0365,selected_n150,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0228,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0158,alternate,pure_water_risk,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0090,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0131,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0431,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0157,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0881,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0826,alternate,geographically_isolated_edge_cell,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0199,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0373,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0101,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0580,alternate,extreme_outlier_feature,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0581,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0256,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0122,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0139,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0945,alternate,extreme_outlier_feature,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0945,alternate,overhead_semantics_ambiguous,1,False,Automated B6 flag; advisory spot-check only unless invalid geometry is present.
TP_0058,excluded,replaced_out_cell_excluded,1,False,B2.2 hard exclusion retained.
TP_0828,excluded,replaced_out_cell_excluded,1,False,B2.2 hard exclusion retained.
TP_0802,excluded,replaced_out_cell_excluded,1,False,B2.2 hard exclusion retained.
TP_0675,excluded,replaced_out_cell_excluded,1,False,B2.2 hard exclusion retained.
TP_0916,excluded,replaced_out_cell_excluded,1,False,B2.2 hard exclusion retained.
