feature_name,feature_family,type,units,source_type,exact_definition,null_policy,proxy_flag,production_candidate,diagnostic_only,leakage_risk,claim_boundary,feature_version
ped_access_shade_frac,pedestrian-accessible shaded fraction,float,fraction,vector_network,"True pedestrian-accessible shaded length divided by pedestrian-accessible denominator length, reserved for future network overlay.",null when no pedestrian network/vector denominator exists,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
ped_access_shade_length_m,pedestrian-accessible shaded fraction,float,m,vector_network,True shaded pedestrian-accessible segment length within the cell.,null when no pedestrian network/vector denominator exists,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
ped_access_denominator_m,pedestrian-accessible shaded fraction,float,m,vector_network,True pedestrian-accessible denominator segment length within the cell.,null when no pedestrian network/vector denominator exists,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
ped_access_shade_frac_proxy,pedestrian-accessible shaded fraction,float,fraction,compact_vector_derived,"max(pedestrian_shelter_fraction, covered walkway plus pedestrian bridge area divided by cell area).",null if shelter/overhead compact summaries are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
ped_access_shade_length_m_proxy,pedestrian-accessible shaded fraction,float,m,compact_vector_derived,covered walkway area divided by 3 m plus pedestrian bridge area divided by 4 m; not a network continuity measure.,null if overhead area summaries are missing,True,no,yes,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
shade_corridor_continuity_idx,connected shade corridor / shade continuity,float,index,vector_network,Connected shaded pedestrian-network length divided by total shaded candidate network length.,null until a pedestrian shade network exists,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
max_connected_shade_length_m,connected shade corridor / shade continuity,float,m,vector_network,Maximum connected shaded pedestrian-network component length in the cell/local context.,null until a pedestrian shade network exists,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
shade_gap_count,connected shade corridor / shade continuity,float,count,vector_network,Count of gaps between shaded pedestrian-network components.,null until a pedestrian shade network exists,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
overhead_patch_count,overhead geometry shape descriptors,float,count,compact_vector_derived,Vector-derived count of overhead structures intersecting the cell.,0 if compact source reports zero overhead structures; null if source missing,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
overhead_total_area_m2,overhead geometry shape descriptors,float,m2,compact_vector_derived,Vector-derived overhead structure area intersecting the cell.,0 if compact source reports zero overhead area; null if source missing,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
overhead_mean_patch_area_m2,overhead geometry shape descriptors,float,m2,compact_vector_derived,overhead_total_area_m2 divided by overhead_patch_count when count is positive.,null when patch count is zero or missing,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
overhead_edge_density,overhead geometry shape descriptors,float,m_per_m2,vector_polygon,"Overhead polygon perimeter divided by cell area, reserved for future polygon geometry processing.",null because perimeter is not available in compact source,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
overhead_total_area_proxy,overhead geometry shape descriptors,float,m2,compact_proxy,overhead fraction times cell area when direct vector-derived area is missing.,null when direct overhead area exists or fraction is missing,True,no,yes,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
sunlit_hot_pocket_proxy_frac,sunlit-hot-pocket area fraction,float,fraction,compact_proxy,compact open fraction times compact SVF/open-sky times one minus compact shade fraction.,"null if open, SVF/open-sky, or shade columns are missing",True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
open_high_svf_low_shade_frac,sunlit-hot-pocket area fraction,float,fraction,compact_proxy,same compact open-high-SVF-low-shade product used to derive sunlit_hot_pocket_proxy_frac.,null if source columns are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
