sequence,system,lane_id,lane_name,status,classification,output_dir,key_quantitative_result,next_action
1,System A,A-L1H.0,high-tail residual decomposition,PASS_DIAGNOSTIC / not_declared_in_status_file,DIAGNOSTIC,outputs/v11_systema_l1_high_tail/residual_decomposition,Observed ge31 rows in residual report: 408; predicted ge31 rows: 290; M4 fixed_31 recall 0.475 and precision 0.669 in integration report; Full-period weather merge matched 816/816 observed ge31 rows,No action unless reopening a separately scoped diagnostic review.
2,System A,A-L1H.1,formula/proxy audit,PASS / WEAK_OR_NEGATIVE,DIAGNOSTIC,outputs/v11_systema_l1_high_tail/formula_proxy_audit,Best diagnostic candidate max_pred=29.777 C; Best diagnostic candidate MAE=1.359 C; Best-F1 ge31 threshold=27.05 C,No contract change.
3,System A,A-L1H.2,probability / threshold calibration,PASS_CANDIDATE_PROBABILITY_COMPANION,DIAGNOSTIC,outputs/v11_systema_l1_high_tail/probability_threshold_calibration,Brier=0.052; PR-AUC=0.610; ECE_fixed=0.018; best_F1 recall=0.765 precision=0.678,Feed A-L1H.4 companion suite and A-L1H.5 contract.
4,System A,A-L1H.3,high-tail challenger,PASS / RECALL_FIRST_DIAGNOSTIC,DIAGNOSTIC,outputs/v11_systema_l1_high_tail/high_tail_challenger,Delta recall vs current best_F1=0.088; Delta miss_rate=-0.088; Delta precision=-0.031,"Proceed to companion suite/contract, not A-L2 unless separately scoped."
5,System A,A-L1H.4,probability / exceedance companion suite,A_L1H4_COMPANION_PROMISING,ACCEPTED_WITH_BOUNDARY,outputs/v11_systema_l1_high_tail/prob_exceedance_suite,n=1674 ge31=204 ge33=15; P_ge31 Brier=0.052 ECE_fixed=0.018 PR-AUC=0.610; best_F1 recall 0.765 precision 0.678 miss_rate 0.235; conformal 90pct coverage=0.898 mean width=2.869 C,Use as evidence for A-L1H.5 output contract and future A-L1H.6 snapshot evaluation.
6,System A,A-L1H.5,model card / output contract,A_L1H5_CONTRACT_PASS,ACCEPTED_FROZEN,outputs/v11_systema_l1_high_tail/model_card_output_contract,WBGT_A MAE=0.639 C; P_ge31 events=204 Brier=0.052 PR-AUC=0.610; P_ge33 events=15 low support,Do not modify unless a future formal snapshot review explicitly opens a contract update lane.
7,System A,A-L1H.6,prospective eval harness,A_L1H6_WAITING_FOR_FORMAL_SNAPSHOT,BLOCKED_WAITING,outputs/v11_systema_l1_high_tail/prospective_eval_harness,P_ge31 gate remains P_GE31_REMAINS_OPTIONAL_WAITING; P_ge33 remains exploratory,Rerun only after A-L1H.7 freezes a reviewed formal snapshot.
8,System A,A-L1H.7,formal snapshot freezer,A_L1H7_WAITING_FOR_FORMAL_INPUT,BLOCKED_WAITING,outputs/v11_systema_l1_high_tail/formal_snapshot_freezer,"Current schema status WAITING_NO_FORMAL_SCHEMA_CANDIDATE; Minimum support required: 200 prospective rows, 30 ge31 events, 30 ge33 events for promotion review",Provide reviewed compact formal candidate; run write_snapshot; then run A-L1H.6.
9,System A,A-L1H.8,development dossier / frozen handoff,A_L1H8_DOSSIER_PASS,ACCEPTED_FROZEN_HANDOFF,outputs/v11_systema_l1_high_tail/systema_development_dossier,Dossier status A_L1H8_DOSSIER_PASS; Formal snapshot status WAITING; P_ge31 optional diagnostic companion,Future re-entry starts with A-L1H.7 only when a real formal snapshot exists.
10,System A,A-L2.0,identifiability,PASS,DIAGNOSTIC,outputs/v11_systema_l2_residual/identifiability_preflight,context-adjusted residual stable stations=14; high-tail stable stations=8; challenger probability-error stable stations=1,Proceed only to A-L2.1 scoped station features/preflight.
11,System A,A-L2.1a,station features,PASS_FEATURE_TABLE,DIAGNOSTIC,outputs/v11_systema_l2_residual/station_buffer_features_s1,Station count=27,Feed A-L2.1b QA.
12,System A,A-L2.1b,feature QA,PASS_FEATURE_QA_READY_FOR_SCOPED_MODEL,DIAGNOSTIC,outputs/v11_systema_l2_residual/station_feature_qa,S142 n_ge31=15 high_tail=2.239617; S139 n_ge31=1 low support,A-L2.1c scoped residual preflight.
13,System A,A-L2.1c,scoped residual preflight,A_L2_SCOPED_SIGNAL_PROMISING,EXPLANATORY_ONLY,outputs/v11_systema_l2_residual/scoped_residual_preflight,"high-tail residual MAE 0.4035 vs null 0.4316; high-tail improvement about 6.5%; p_mae=0.0529 p_spearman=0.0250; score residual improvement about 1.7%, p_mae=0.1419",Only future explanatory protocol after longer archive and better metadata/SVF/LCZ/siting.
14,System B,B8.5-F0,multi-forcing preflight,PASS,ACCEPTED_PRECHECK,outputs/v12_surrogate/b8_5_multiforcing_preflight,N24 cells=24; fallback used=no,Prepare execution package.
15,System B,B8.5-F1,execution package,PASS,ACCEPTED_PRECHECK,outputs/v12_surrogate/b8_5_execution_package,Source manifest requires solweig_execute_now=no,Resolve asset readiness.
16,System B,B8.5-F2a-F2d,asset readiness and met forcing,READY_FOR_MANUAL_QGIS after F2d,ACCEPTED_PRECHECK,outputs/v12_surrogate/b8_5_f2d_readiness_final,F2d file assets ready 480/480; F2d ready for manual QGIS 480/480,Human-controlled F3 execution lanes.
17,System B,B8.5-F3a/F3b,microbatch and one-cell full slice,MICRO_BATCH_EXECUTED_PASS / ONECELL_SLICE_EXECUTED_PASS,ACCEPTED_EXECUTION_EVIDENCE,outputs/v12_surrogate/b8_5_f3b_onecell,F3a 4/4 executed outputs valid; F3b 20/20 executed outputs valid,B8.5-F3c N24 full execution review.
18,System B,B8.5-F3c,N24 multi-forcing,N24_STABILITY_REVIEW_READY,ACCEPTED_EXECUTION_EVIDENCE,outputs/v12_surrogate/b8_5_f3c_n24,Pre-execution ready 480/480; Postrun 480/480 executed outputs valid; Core h12/h13/h15/h16 stable in F4 review,B8.5-F4 decision matrix.
19,System B,B8.5-F4,N24 decision,F4_N24_DECISION_PASS,ACCEPTED_DECISION,outputs/v12_surrogate/b8_5_f4_n24_decision,h12 Spearman=0.920276; h13 Spearman=0.967903; h15 Spearman=0.946160; h16 Spearman=0.992752,B8.5-F5 N150 multi-forcing execution package.
20,System B,B8.5-F5,N150 multi-forcing / final ML label source,N150_MULTIFORCING_STABILITY_REVIEW_READY,ACCEPTED_LABEL_SOURCE,outputs/v12_surrogate/b8_5_f5_n150_multiforcing,Pre-execution ready 3000/3000; Postrun 3000/3000 executed outputs valid; Raster QA PASS; Label merge PASS; Stability PASS,Surrogate promotion and feature-source review.
21,System B,B8.6,surrogate protocol baseline,B86_WEAK_BASELINE_NEEDS_N150_MULTIFORCING,DIAGNOSTIC,outputs/v12_surrogate/b8_6_surrogate_protocol,Dataset shape 750 x 42; Best baseline mean main-holdout MAE=0.1616; Spearman=0.611,N150 multi-forcing precheck/control execution and hardening.
22,System B,B8.6b-B8.6f,surrogate promotion / feature hardening / closure,B86F_SURROGATE_CLOSURE_PASS,DIAGNOSTIC_SUPERSEDED_BY_B87,outputs/v12_surrogate/b8_6f_surrogate_closure,B86b forcing-day Spearman=0.864 but spatial_holdout Spearman=0.386; B86c two-stage supporting Spearman=0.489 top10pct=0.361; B86f N300 v2 role mix totals 150,B8.6g feature acquisition and B8.7 N300 design.
23,System B,B8.6g/B8.6g2/B8.6g3,true-vector / source review,B86G3_SOURCE_REVIEW_PASS + needs external vector source,DIAGNOSTIC_SOURCE_GATE,outputs/v12_surrogate/b8_6g3_true_vector_source_review,"B86G sources scanned=1256 usable=982; B86G2 spatial_holdout Spearman=0.517; B86G3 N300 v4 row count=150, N150 overlap=0",B8.7b precheck plus external/vector acquisition before AOI/B9.
24,System B,B8.7,N300 predesign,B87_N300_DESIGN_NEEDS_QA,DIAGNOSTIC_DESIGN,outputs/v12_surrogate/b8_7_n300_pre,N300 candidate count=150; N150 overlap=0,Manual N300 QA then B8.7a/B8.6g3/B8.7b.
25,System B,B8.7a,design QA patch,B87A_PATCHED_DESIGN_READY_FOR_REVIEW,DIAGNOSTIC_DESIGN,outputs/v12_surrogate/b8_7a_n300_design_qa_patch,manual_source_review_blockers=3,B8.7b precheck after review.
26,System B,B8.7b,execution precheck,B87B_PRECHECK_NEEDS_LOCAL_ASSET_REMAP,BLOCKED_PRECHECK,outputs/v12_surrogate/b8_7b_n300_execution_precheck,2 forcing days x 5 hours x 2 scenarios = 3000 additional preview runs,B8.7b.1 local asset remap.
27,System B,B8.7b.1,local asset remap,B87B1_WAITING_LOCAL_ROOTS,BLOCKED_PRECHECK,outputs/v12_surrogate/b8_7b1_local_asset_remap,output root status 150/150; waiting=900 missing=0 ambiguous=0,B8.7b.2 local asset fix/cross-worktree discovery.
28,System B,B8.7b.2,cross-worktree / full-raster locator,B87B2_BLOCKED_NO_ASSETS_FOUND,BLOCKED_PRECHECK,outputs/v12_surrogate/b8_7b2_cross_worktree_asset_discovery,resolved minimal SVF/DSM count=0,B8.7b.3 source lock / SVF scenario model.
29,System B,B8.7b.3,source lock / SVF scenario model,B87B3_SOURCE_LOCK_READY_FOR_MATERIALIZATION,ACCEPTED_SOURCE_LOCK,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan,HEADER_OK=3/3; base and overhead feasible for B87B4 prematerialization,B8.7b.3p protocol parity then B8.7b.4 materialization.
30,System B,B8.7b.3p,SOLWEIG protocol parity audit,B87B3P_PASS_WITH_NONFINAL_SMOKE_DIFFERENCES,ACCEPTED_PROTOCOL_PARITY,outputs/v12_surrogate/b8_7b3p_solweig_protocol_parity,Nonfinal smoke/deprecated caveat rows=5; Blockers=none,B8.7b.4 materialization package.
31,System B,B8.7b.4/B87C,materialization / execution package,B87B4_MATERIALIZATION_COMPLETE_READY_FOR_B87C_RUN,ACCEPTED_MATERIALIZATION,outputs/v12_surrogate/b8_7b4_b87c_materialization_package,SVF/svfs readiness 300/300; manifest row count=3000,B87C full_150 raw SOLWEIG human/local execution and postrun summary.
32,System B,B87C,full_150 raw SOLWEIG,B87C_FULL150_POSTRUN_SUMMARY_PASS,ACCEPTED_RAW_SOLWEIG,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary,3000/3000 success; 150 cells; 2 forcing days; 5 hours; 2 scenarios; missing_or_empty_tmrt=0,B87D N300 label integration.
