source_category,feature_family,path,extension,row_count,column_count,geometry_type,CRS,useful_columns,read_status,safety_status,source_confidence,support_level,can_support_true_vector_feature,validity_verdict,caveat,claim_boundary
overhead_geometry,overhead geometry polygons / structures,configs/v09_gamma_overhead_aware_config.example.json,.json,1.0,16.0,,,building_dsm|constraints|grid_geojson|max_tile_iou|min_center_distance_m|out_dir|overhead_geojson|overhead_type_widths_m|qa_dir|ranking_csv|ranking_geojson|selection|tile_buffer_m|tile_size_m|vegetation_dsm|working_crs,READ_OK,SAFE_TO_INSPECT,low_or_context_only,AVAILABLE_TRUE_VECTOR,yes,VALID_FOR_OVERHEAD_GEOMETRY_REVIEW,overhead polygons/lines are available for source-backed review,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v10/v10_delta_overhead_config.example.json,.json,1.0,6.0,,,classification|comparison|crs|inputs|outputs|sensitivity,READ_OK,SAFE_TO_INSPECT,low_or_context_only,AVAILABLE_TRUE_VECTOR,yes,VALID_FOR_OVERHEAD_GEOMETRY_REVIEW,overhead polygons/lines are available for source-backed review,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v10/v10_epsilon_solweig_config.example.json,.json,1.0,7.0,,,buffer_m|crs|overhead_height_defaults_m|paths|selected_cells|solweig|tile_size_m,READ_OK,SAFE_TO_INSPECT,low_or_context_only,AVAILABLE_TRUE_VECTOR,yes,VALID_FOR_OVERHEAD_GEOMETRY_REVIEW,overhead polygons/lines are available for source-backed review,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_core8_overhead_manifest.csv,.csv,,,,,,NOT_READ_BY_GUARDRAIL,SKIPPED_EXECUTION_MANIFEST_REFERENCE,not_inspected_by_guardrail,NOT_AVAILABLE_GUARDRAIL_SKIPPED,no,NOT_VALID_FOR_TRUE_VECTOR_CLOSURE,source was not inspected by guardrail,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_n150_execution_config.example.json,.json,1.0,37.0,,,building_dsm_path|crs|do_not_commit_raw_outputs|expected_full_rows_after_merge|expected_merged_delta_rows|expected_new_delta_rows|expected_new_runs|focus_cell_size_m|forcing_paths_by_hour|full_matrix_path|grid_feature_path|hours|hours_sgt|n24_delta_path|n24_focus_summary_path|n24_run_log_path|new_cells_path|normalized_modifier|overhead_vector_path|preprocess|primary_modifier_delta|primary_target|qgis_required|raster_resolution_m|raw_output_root|reference_domain_version|retained_n24_cells_path|run_matrix_path|scenarios|selected_cells_path|skip_completed|solweig_parameters|stop_if_first_10_failure_count_gt|summary_output_dir|target_version|tile_buffer_m|vegetation_dsm_path,READ_OK,SAFE_TO_INSPECT,low_or_context_only,AVAILABLE_TRUE_VECTOR,yes,VALID_FOR_OVERHEAD_GEOMETRY_REVIEW,overhead polygons/lines are available for source-backed review,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_n150_new_overhead_manifest.csv,.csv,,,,,,NOT_READ_BY_GUARDRAIL,SKIPPED_EXECUTION_MANIFEST_REFERENCE,not_inspected_by_guardrail,NOT_AVAILABLE_GUARDRAIL_SKIPPED,no,NOT_VALID_FOR_TRUE_VECTOR_CLOSURE,source was not inspected by guardrail,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_n24_execution_config.example.json,.json,1.0,23.0,,,base_manifest_path|building_dsm_path|crs|do_not_commit_raw_outputs|focus_cell_size_m|forcing_paths_by_hour|grid_feature_path|hours|overhead_manifest_path|overhead_vector_path|preprocess|qgis_required|raster_resolution_m|raw_output_root|run_matrix_path|scenarios|selected_cells_path|skip_completed|solweig_parameters|stop_if_first_10_failure_count_gt|summary_output_dir|tile_buffer_m|vegetation_dsm_path,READ_OK,SAFE_TO_INSPECT,low_or_context_only,AVAILABLE_TRUE_VECTOR,yes,VALID_FOR_OVERHEAD_GEOMETRY_REVIEW,overhead polygons/lines are available for source-backed review,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_n24_overhead_manifest.csv,.csv,,,,,,NOT_READ_BY_GUARDRAIL,SKIPPED_EXECUTION_MANIFEST_REFERENCE,not_inspected_by_guardrail,NOT_AVAILABLE_GUARDRAIL_SKIPPED,no,NOT_VALID_FOR_TRUE_VECTOR_CLOSURE,source was not inspected by guardrail,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_n24_run_matrix.csv,.csv,240.0,16.0,,,run_id|cell_id|scenario|hour|forcing_label|building_dsm_source_label|vegetation_dsm_source_label|overhead_source_label|dem_source_label|svf_output_dir_expected|wall_height_expected|wall_aspect_expected|tmrt_output_expected|expected_summary_row_key|do_not_commit_raw_output|notes,READ_OK,SAFE_TO_INSPECT,medium_compact_vector_derived_table,AVAILABLE_TRUE_VECTOR,yes,VALID_FOR_OVERHEAD_GEOMETRY_REVIEW,overhead polygons/lines are available for source-backed review,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
overhead_geometry,overhead geometry polygons / structures,configs/v12/v12_solweig_overhead_smoke_h13_manifest.csv,.csv,,,,,,NOT_READ_BY_GUARDRAIL,SKIPPED_EXECUTION_MANIFEST_REFERENCE,not_inspected_by_guardrail,NOT_AVAILABLE_GUARDRAIL_SKIPPED,no,NOT_VALID_FOR_TRUE_VECTOR_CLOSURE,source was not inspected by guardrail,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
