cell_id,reason_for_possible_replacement,replacement_candidate_1,replacement_candidate_1_reason,replacement_candidate_2,replacement_candidate_2_reason,replacement_candidate_3,replacement_candidate_3_reason,replacement_gap
TP_0037,nan,TP_0090,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.355,TP_0256,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.386,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.461,False
TP_0059,overhead_semantics_ambiguous,TP_0431,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.339,TP_0373,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.345,TP_0157,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.281,False
TP_0088,extreme_outlier_feature|overhead_semantics_ambiguous,TP_0431,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.341,TP_0373,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.349,TP_0157,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.320,False
TP_0098,overhead_semantics_ambiguous,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.239,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.240,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.362,False
TP_0115,nan,TP_0139,1 shared strata; feature completeness 1.00; feature distance 0.234,TP_0158,1 shared strata; feature completeness 1.00; feature distance 0.250,TP_0101,1 shared strata; feature completeness 1.00; feature distance 0.260,False
TP_0141,nan,TP_0256,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.224,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.330,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.264,False
TP_0154,nan,TP_0199,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.223,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.326,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.354,False
TP_0254,overhead_semantics_ambiguous,TP_0256,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.214,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.396,TP_0199,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.355,False
TP_0301,geographically_isolated_edge_cell,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.308,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.351,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.372,False
TP_0326,geographically_isolated_edge_cell,TP_0256,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.297,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.300,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.258,False
