b85_cell_rank,selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,sampling_feature_coverage_reason,quota_reason,lhs_or_greedy_reason,extreme_coverage_reason,replacement_of_cell_id,source_feature_completeness,auto_qa_flag,manual_review_required,manual_review_reason,notes,n24_source_file,n24_provenance_status,fallback_used,b85_selection_note,n_b7_label_rows,n_scenarios,n_hours,mean_delta_tmrt_p90_c,min_delta_tmrt_p90_c,max_delta_tmrt_p90_c,mean_m_rad_pct01,min_m_rad_pct01,max_m_rad_pct01,mean_tmrt_p90_c,min_tmrt_p90_c,max_tmrt_p90_c,has_reuse_existing_n24_label
1,1,TP_0037,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,other,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-0.414017868041993,-3.198783874511726,1.0312442779541016,0.5697986577181208,0.1342281879194631,0.8993288590604027,55.402473068237306,44.148170471191406,62.51641082763672,True
2,2,TP_0059,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,open_paved_high_svf,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.653688049316407,0.2958450317382812,0.8552207946777344,0.7463087248322148,0.7248322147651006,0.7718120805369127,56.4701789855957,46.10290145874024,62.30513381958008,True
3,3,TP_0088,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,overhead_confounded_transport_deck,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-0.3498588562011726,-1.5383243560791016,0.6624011993408203,0.4845637583892618,0.2013422818791946,0.7315436241610739,55.46663208007813,44.504764556884766,62.230098724365234,True
4,4,TP_0098,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,civic_institutional,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-0.23681297302246093,-0.5192356109619141,-0.0001697540283203,0.42953020134228187,0.3422818791946309,0.4966442953020134,55.579677963256835,45.00008773803711,61.71682357788086,True
5,5,TP_0115,retained_n24,n24_seed,completed_n24,water_edge_or_blue_green_mixed,water_edge_or_blue_green_mixed,water,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.01871185302734233,-0.1917648315429687,0.2209434509277343,0.5013422818791946,0.4295302013422818,0.5637583892617449,55.83520278930664,45.53010940551758,61.83406829833984,True
6,6,TP_0141,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|covered_walkway_or_pedestrian_overhead,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-4.186989974975587,-5.495965957641602,-2.503179550170905,0.09194630872483218,0.0805369127516778,0.1208053691275167,51.62950096130371,42.49024963378906,58.77106857299805,True
7,7,TP_0154,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|covered_walkway_or_pedestrian_overhead,park_open_space,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-21.034880065917967,-26.227935791015625,-12.524436950683594,0.017449664429530158,0.0134228187919463,0.0201342281879194,34.78161087036133,32.78472900390625,35.67036056518555,True
8,8,TP_0254,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-3.6819366455078124,-5.20562553405761,-2.072032928466797,0.10268456375838922,0.087248322147651,0.1275167785234899,52.13455429077148,42.28451919555664,59.58810424804688,True
9,9,TP_0301,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,1.0518112182617188,0.5259437561035156,1.381671905517578,0.9845637583892618,0.9664429530201344,1.0,56.86830215454101,46.63159942626953,62.62362289428711,True
10,10,TP_0326,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|covered_walkway_or_pedestrian_overhead,stable_high_rise_residential_estate,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-1.1362281799316378,-1.6721057891845703,-0.3229866027832031,0.2523489932885906,0.1879194630872483,0.3691275167785235,54.68026275634766,44.18610000610352,61.33607864379883,True
