cell_id,sample_group,source_lane,primary_role,spatial_bin,typology,source_closeout_status,caveat_flags,execution_precheck_status,claim_boundary
TP_0972,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_north,transport,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0015,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_south,commercial,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0431,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,east_south,transport,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0016,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,east_south,commercial,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0564,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_north,commercial,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0650,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_north,civic_institutional,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0410,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_south,residential,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0674,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_north,civic_institutional,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0851,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,west_north,transport,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0168,new_n150_candidate,B8.6g3 N300 v4 source-reviewed design,typology_gap_fill,east_south,transport,NOT_REVIEW_REQUIRED,,pending_new_n150_execution_precheck,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
