cell_id,recommended_primary_role,replacement_priority_score,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance,nearest_n150_distance_percentile,water_fraction,pedestrian_shelter_fraction,overhead_fraction_total,qa_flags,replacement_rationale,sampling_boundary,claim_boundary,score_typology_gap_fill,score_spatial_gap_fill,score_anchor_like_replication,score_neutral_boundary_replication,score_sparse_feature_space,score_control_cell
TP_0015,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,0.9638105346141148,0.022026431718061675,0.0,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,20.0
TP_0016,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,1.6225198836180108,0.22320117474302498,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,20.0
TP_0019,typology_gap_fill,85.0,east_south,park_open_space,TP_0433,TP_0115,4.782907270347608,0.8795888399412628,0.2125333230305605,0.0,0.0,anchor_shortfall_improvement|neutral_diversity_improvement,"typology_gap_fill; supports anchor shortfall TP_0433; supports neutral diversity TP_0115; adds undercovered typology park_open_space; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,75.0,75.0,10.0,20.0
TP_0039,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,1.7640502729075775,0.2907488986784141,0.0,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0044,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,3.775378117064168,0.7929515418502202,0.0,0.0059921260938838,0.026964567422484,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0155,typology_gap_fill,85.0,west_south,park_open_space,TP_0141,TP_0326,9.990630627987485,0.9897209985315712,0.0013202858030444,0.012837219446813,0.0618634665187394,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0326; adds undercovered typology park_open_space; does not add residential/transport concentration; retains sparse feature-space diagnostic value; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,75.0,20.0
TP_0156,typology_gap_fill,85.0,west_south,park_open_space,TP_0542,TP_0326,10.174007457258218,0.9911894273127754,0.0183918704841389,0.0343323443771592,0.1647819544687062,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0326; adds undercovered typology park_open_space; does not add residential/transport concentration; retains sparse feature-space diagnostic value; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,75.0,20.0
TP_0184,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,3.9067934123663925,0.8135095447870778,0.0,0.0063705246323746,0.0147973441629094,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0185,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,2.601602891427716,0.5903083700440529,0.0,0.0018067637872355,0.0018067637872355,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0186,typology_gap_fill,85.0,west_south,commercial,TP_0542,TP_0326,6.786683783918484,0.9456681350954479,0.0,0.0348800011456423,0.1192955358765677,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0326; adds undercovered typology commercial; does not add residential/transport concentration; retains sparse feature-space diagnostic value; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,55.0,20.0
