root_key,candidate_path,source,source_file,required,user_status,exists_by_metadata_check,is_dir,is_file,parent_exists,size_bytes,selected_for_resolution,root_kind,metadata_only,notes,claim_boundary
b85_f1_tiles_root,C:/OpenHeat-local/solweig/b85_f1_tiles,config_prior_local_root_candidates,configs/v12/systemb_b87b1_local_asset_remap.yaml,no,,yes,yes,no,yes,,yes,configured_prior_candidate,true,metadata-only configured candidate; do not create or modify this local root,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b85_f2c_met_forcing_root,C:/OpenHeat-local/solweig/met_forcing/b85_f2c,config_prior_local_root_candidates,configs/v12/systemb_b87b1_local_asset_remap.yaml,yes,,yes,yes,no,yes,,yes,configured_prior_candidate,true,metadata-only configured candidate; do not create or modify this local root,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
qgis_manual_check_root,C:/OpenHeat-local/solweig/qgis_checks,config_prior_local_root_candidates,configs/v12/systemb_b87b1_local_asset_remap.yaml,yes,,yes,yes,no,yes,,yes,configured_prior_candidate,true,metadata-only configured candidate; do not create or modify this local root,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_f5_run_log_root,C:/OpenHeat-local/solweig/b85_f5_n150,config_prior_local_root_candidates,configs/v12/systemb_b87b1_local_asset_remap.yaml,no,,yes,yes,no,yes,,yes,configured_prior_candidate,true,metadata-only configured candidate; do not create or modify this local root,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b87c_n300_output_root,C:/OpenHeat-local/solweig/b87c_n300,config_prior_local_root_candidates,configs/v12/systemb_b87b1_local_asset_remap.yaml,yes,,no,no,no,yes,,no,configured_prior_candidate,true,metadata-only configured candidate; do not create or modify this local root,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b87c_n300_asset_root,C:/OpenHeat-local/solweig/b87c_n300/assets,config_prior_local_root_candidates,configs/v12/systemb_b87b1_local_asset_remap.yaml,yes,,no,no,no,no,,no,configured_prior_candidate,true,metadata-only configured candidate; do not create or modify this local root,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_original_project_root,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid,f2d_root_inventory_path,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv,no,,yes,yes,no,yes,,yes,project_worktree,true,Current B8 project subdirectory; FD01 met forcing text files already exist here.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_original_project_root,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid,f2d_root_inventory_path,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv,no,,yes,yes,no,yes,,no,project_worktree_alias,true,"F2b selected root alias for recovered cell geometry, raster tile, and svfs.zip assets; do not copy/open assets.","B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b85_f2c_met_forcing_root,C:/OpenHeat-local/solweig/met_forcing/b85_f2c,f2d_root_inventory_path,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv,no,,yes,yes,no,yes,,yes,local_generated_met_forcing_root,true,Local-only FD02 met forcing text root. Do not stage generated txt files.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b85_f1_tiles_root,C:/OpenHeat-local/solweig/b85_f1_tiles,f2d_root_inventory_path,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv,no,,yes,yes,no,yes,,yes,local_solweig_output_root,true,Local output root exists and is outside the current Git worktree.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
qgis_manual_check_root,C:/OpenHeat-local/solweig/qgis_checks/b85_solweig_algorithm_check.txt,f2d_root_inventory_path,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv,no,,yes,no,yes,yes,255,no,local_manual_check_file,true,manual_check_status=PASS found in local check file.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
discovered_solweig_root,C:/OpenHeat-local/solweig,f2b_root_candidate_inventory_path,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_root_candidate_inventory.csv,no,,yes,yes,no,yes,,yes,local_solweig_asset_root,true,Local-only SOLWEIG execution convention outside Git.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
discovered_local_root,C:/OpenHeat-local,f2b_root_candidate_inventory_path,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_root_candidate_inventory.csv,no,,yes,yes,no,yes,,yes,local_asset_root,true,Local-only asset root outside Git.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
discovered_local_root,C:/OpenHeat-local/,text_scan_prior_docs_configs_outputs,scripts/v12_b85_f2b_asset_recovery_remap.py|docs/v12/OpenHeat_SystemB_B8_5_F2b_asset_recovery_remap_CN.md,no,,yes,yes,no,yes,,no,discovered_prior_text_root,true,source_count=2; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
discovered_solweig_root,C:/OpenHeat-local/solweig,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_root_candidate_inventory.csv|outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_source_inventory.csv|configs/v12/systemb_b85_f2b_asset_recovery_remap.yaml|configs/v12/systemb_b85_f2c_fd02_met_forcing.yaml|scripts/v12_b87b1_local_root_inventory.py,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=6; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
