sprint_id,artifact_type,artifact_path,exists,row_count_if_csv,key_models,key_targets,validation_schemes,key_findings_short,limitations_short,can_support_model_card_claims
Sprint 1,report,outputs/v11_level1/m2_recovery/m2_recovery_report.md,True,,M2 recovery,official WBGT,formal snapshot recovery audit,M2 recovery passed and supports continuity of Level 1 baseline evidence.,Report only; no new model package selected here.,yes
Sprint 1,report,outputs/v11_level1/pairing_audit/station_openmeteo_pairing_report.md,True,,station x Open-Meteo pairing,station forcing alignment,pairing audit,Station-weather pairing audit passed for Level 1 forcing context.,Pairing correctness does not imply local 100m WBGT skill.,yes
Sprint 1,report,outputs/v11_level1/reproduction/reproduction_report.md,True,,M3/M4/M7 ridge,"official_wbgt_c, hourly max/mean",LOSO,Sklearn reproduction passed with no fallback for M3/M4/M7 reference baselines.,Regression reproduction is retrospective and station-network based.,yes
Sprint 1,metrics_csv,outputs/v11_level1/reproduction/metrics_reproduction_table.csv,True,9,M3_weather_ridge; M4_inertia_ridge; M7_compact_weather_ridge,official_wbgt_c; official_wbgt_c_max; official_wbgt_c_mean,LOSO,M4 improved regression MAE/RMSE over M3/M7 in reproduced formal rows.,"Fixed threshold crossing remains weak, especially ge33.",yes
Sprint 1b/1c,report,outputs/v11_level1/formal_hourly_reproduction/formal_hourly_reproduction_report.md,True,,M3/M4/M7 formal hourly OOF,hourly max/mean official WBGT,LOSO; OOF-derived,Formal-hourly OOF reference created without retraining in Sprint 1c.,Derived metrics depend on existing frozen OOF predictions.,yes
Sprint 1b/1c,report,outputs/v11_level1/formal_hourly_reproduction/formal_hourly_oof_derived_metrics_report.md,True,,M3/M4/M7 formal hourly OOF,hourly max/mean official WBGT,LOSO; OOF-derived,OOF-derived metrics provide the formal-hourly reference for model-card numbers.,Not a new model run.,yes
Sprint 1b/1c,metrics_csv,outputs/v11_level1/formal_hourly_reproduction/formal_hourly_oof_derived_metrics.csv,True,6,M3/M4/M7 formal hourly OOF,hourly max/mean official WBGT,LOSO; OOF-derived,M4 hourly_max MAE/RMSE/R2 and ge31 fixed-threshold diagnostics available.,Nominal fixed-threshold crossing under-detects high WBGT.,yes
Sprint 2A,report,outputs/v11_level1/feature_ablation/feature_ablation_report.md,True,,M4_like; M7_like; L1_full_dynamic; L1_proxy_radiation,hourly max/mean official WBGT,LOSO,Dynamic feature ablation passed; M4_like remains conservative regression default.,High-tail compression remains across feature sets.,yes
Sprint 2A,metrics_csv,outputs/v11_level1/feature_ablation/feature_ablation_metrics.csv,True,22,M4_like; M7_like; L1_full_dynamic; L1_proxy_radiation,hourly max/mean official WBGT,LOSO,"Ablation metrics quantify regression, fixed ge31/ge33, and high-tail residuals.",Does not validate prospective or local-cell outputs.,yes
Sprint 2A,metrics_csv,outputs/v11_level1/feature_ablation/feature_ablation_delta_vs_proxy.csv,True,22,feature ablation candidates,hourly max/mean official WBGT,LOSO,Feature blocks improve over proxy-only but do not remove tail bias.,"Delta table is diagnostic, not a deployment selector by itself.",yes
