item_type,item,status,count,details
dataset_contract,n150_label_set_rows,PASS,1500,"cells=150; scenarios=base,overhead_as_canopy; hours=10,12,13,15,16"
feature_contract,physical_core_feature_count,PASS,115,role=feature; predictor_tier=physical_core
feature_contract,prohibited_nonphysical_social_tokens,PASS,0,
feature_contract,target_leakage_tokens,PASS,0,
feature_contract,coordinates_in_headline_features,PASS,0,none
feature_contract,spatial_diagnostic_columns_excluded_from_headline,PASS,4,lat; lon; centroid_x_svy21; centroid_y_svy21
feature_family,SVF,PASS,14,svf; svf_proxy_v07; svf_umep_mean_open_with_veg; svf_umep_p10_open_with_veg; svf_umep_p90_open_with_veg; svf_umep_mean_all_with_veg; svf_umep_selected; delta_svf_v08_minus_proxy; svf_umep_mean_open_v10; svf_umep_p10_open_v10; svf_umep_p90_open_v10; svf_umep_mean_all_v10
feature_family,shade,PASS,39,shade_fraction; shade_fraction_proxy_v07; shade_fraction_umep_10_16_open_with_veg; shade_fraction_umep_13_15_open_with_veg; shade_fraction_umep_peak_open_with_veg; shade_fraction_umep_1000_open_with_veg; shade_fraction_umep_1100_open_with_veg; shade_fraction_umep_1200_open_with_veg; shade_fraction_umep_1300_open_with_veg; shade_fraction_umep_1400_open_with_veg; shade_fraction_umep_1500_open_with_veg; shade_fraction_umep_1600_open_with_veg
feature_family,building_density_height,PASS,23,building_density; max_building_height_m; mean_building_height_m; building_pixel_fraction; dsm_mean_height_all; dsm_max_height; dsm_mean_height_buildings_only; n_building_pixels_v10; building_pixel_fraction_v10; building_area_m2_v10; dsm_building_height_mean_m_v10; dsm_building_height_p50_m_v10
feature_family,vegetation,PASS,9,park_distance_m; large_park_distance_m; tree_canopy_fraction; grass_fraction; ndvi_mean; dynamic_world_tree_fraction; dynamic_world_grass_fraction; ndvi_norm_for_greenery_proxy; impervious_fraction_green_component
feature_family,water,PASS,3,water_distance_m; water_fraction; dynamic_world_water_fraction
feature_family,road_hardscape,PASS,11,road_fraction; built_up_fraction; dynamic_world_built_up_fraction; impervious_fraction; impervious_fraction_old_beta; impervious_fraction_vector_component; impervious_fraction_dw_component; impervious_fraction_green_component; overhead_area_elevated_road_m2; n_elevated_road; overhead_fraction_elevated_road
feature_family,overhead,PASS,22,tree_canopy_fraction; overhead_area_total_m2; overhead_weighted_shade_area_m2; n_overhead_features; overhead_area_covered_walkway_m2; overhead_area_elevated_rail_m2; overhead_area_elevated_road_m2; overhead_area_pedestrian_bridge_m2; overhead_area_viaduct_m2; overhead_fraction_total; overhead_shade_proxy; overhead_fraction_covered_walkway
feature_family,other_physical_core,PASS,5,n_open_pixels; n_open_pixels_v10; open_pixel_fraction; open_pixel_fraction_v10; v10_open_pixel_fraction
