selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,sampling_feature_coverage_reason,quota_reason,lhs_or_greedy_reason,extreme_coverage_reason,replacement_of_cell_id,source_feature_completeness,auto_qa_flag,manual_review_required,manual_review_reason,notes
1,TP_0037,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,other,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
2,TP_0059,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,open_paved_high_svf,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
3,TP_0088,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,overhead_confounded_transport_deck,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
4,TP_0098,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,civic_institutional,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
5,TP_0115,retained_n24,n24_seed,completed_n24,water_edge_or_blue_green_mixed,water_edge_or_blue_green_mixed,water,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
6,TP_0141,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|covered_walkway_or_pedestrian_overhead,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
7,TP_0154,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|covered_walkway_or_pedestrian_overhead,park_open_space,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
8,TP_0254,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
9,TP_0301,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
10,TP_0326,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|covered_walkway_or_pedestrian_overhead,stable_high_rise_residential_estate,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
