decision_item,status,evidence,blocker,recommended_action,claim_boundary
n300_candidate_input,PASS,candidate_count=150,,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
n150_overlap,PASS,overlap_with_n150_count=0,,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
role_balance,PASS,PASS=6 WARN=0 FAIL=0,,review role deviations if any,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
spatial_balance,WARN,PASS=3 WARN=1 FAIL=0,,"inspect weak-bin distribution, especially west_south","B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
typology_balance,WARN,PASS=4 WARN=4 FAIL=0,,inspect residential/transport concentration and park/commercial coverage,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
anchor_replication,WARN,PASS=3 WARN=2 FAIL=0,,inspect TP_0037/TP_0433 preferred-minimum shortfalls if present,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
neutral_replication,WARN,PASS=9 WARN=1 FAIL=0,,inspect neutral-boundary diversity before execution precheck,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
sparse_feature_space,WARN,PASS=1 WARN=2 FAIL=0,,mark p90/p95 cases as execution-risk for manual QA,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
control_cell_coverage,PASS,PASS=3 WARN=0 FAIL=0,,confirm controls remain baseline-like,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
feature_coverage,PASS,vector_derived=1 proxy_only=7 not_available=1 review=connected shade corridor / shade continuity,connected shade corridor remains source-dependent,carry source gaps into B8.6g3; do not promote proxy features,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
connected_shade_corridor_source,WARN,source_status=NOT_AVAILABLE_REQUIRES_MANUAL_DATA,missing valid source,do not infer continuity; require pedestrian/shade-network source QA,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
no_execution_artifacts_created,PASS,B8.7 package contains compact CSV/Markdown/docs/scripts only.,,"keep no SOLWEIG manifest, no QGIS runner, no AOI/B9 outputs","B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
final_freeze_decision,B87_N300_DESIGN_NEEDS_QA,"decision combines input, balance, feature, source, and no-execution checks",,"manual N300 QA, then B8.6g3 true-vector feature acquisition, then B8.7b precheck","B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
