audit_scope,feature_family,feature_coverage_status,source_class,n300_coverage_fraction,candidate_rows_with_any_feature,candidate_missing_count,candidate_missing_examples,status,recommended_manual_qa,claim_boundary,priority,b86g_reported_n300_coverage_fraction,source_status,proxy_status,closure_status,feature_columns,missing_feature_columns
dataset,n300_candidate_feature_rows,complete,compact_table,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",,,,,,,
feature_family,canyon orientation / height roughness,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",high,1.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,PROXY_ONLY,PARTIAL_PROXY_ONLY,canyon_axis_orientation_deg|height_roughness_iqr_m|height_asymmetry_idx,
feature_family,connected shade corridor / shade continuity,not_available,not_available,0.0,0,150,TP_0002|TP_0003|TP_0010|TP_0024|TP_0042|TP_0045|TP_0052|TP_0063|TP_0067|TP_0074|TP_0083|TP_0085|TP_0090|TP_0099|TP_0102|TP_0103|TP_0104|TP_0110|TP_0112|TP_0116,WARN,acquire true vector/compact source before promoting feature coverage,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",high,0.0,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,NOT_AVAILABLE,NOT_AVAILABLE_REQUIRES_SOURCE,shade_corridor_continuity_idx|max_connected_shade_length_m|shade_gap_count,
feature_family,local boundary / edge context,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",medium,1.0,COMPACT_PROXY_ONLY,PROXY_ONLY,PARTIAL_PROXY_ONLY,water_edge_contact_frac|park_edge_contact_frac|hardscape_edge_contact_frac,
feature_family,neighbourhood-scale context,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",medium,1.0,CENTROID_RADIUS_CONTEXT,PROXY_ONLY,PARTIAL_PROXY_ONLY,neighbourhood_shade_mean|neighbourhood_overhead_frac|neighbourhood_open_frac,
feature_family,overhead geometry shape descriptors,complete,vector_derived,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",high,1.0,COMPACT_VECTOR_DERIVED_NO_PERIMETER,VECTOR_DERIVED_COMPACT,CLOSED_WITH_VECTOR_FEATURE,overhead_patch_count|overhead_total_area_m2|overhead_mean_patch_area_m2|overhead_edge_density|overhead_total_area_proxy,
feature_family,pedestrian-accessible shaded fraction,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",high,1.0,COMPACT_VECTOR_DERIVED_PROXY,STRONG_COMPACT_VECTOR_PROXY,PARTIAL_PROXY_ONLY,ped_access_shade_frac|ped_access_shade_length_m|ped_access_denominator_m|ped_access_shade_frac_proxy|ped_access_shade_length_m_proxy,
feature_family,sunlit-hot-pocket area fraction,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",high,1.0,COMPUTED,PROXY_ONLY,PARTIAL_PROXY_ONLY,sunlit_hot_pocket_proxy_frac|open_high_svf_low_shade_frac,
feature_family,tree/building shadow interaction,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",high,1.0,COMPUTED,PROXY_ONLY,PARTIAL_PROXY_ONLY,tree_building_overlap_proxy|tree_near_tall_building_frac,
feature_family,typology-specific geometry,complete,proxy_only,1.0,150,0,,PASS,none,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",medium,1.0,COMPUTED,PROXY_ONLY,PARTIAL_PROXY_ONLY,typology_geometry_class|typology_shade_interaction|typology_support_count,
