feature_set,model,split_family,n_folds,n_test_rows,n_features,model_registry_role,claim_boundary,MAE,RMSE,bias,R2,median_absolute_error,p90_absolute_error,Spearman_rank_correlation,Pearson_correlation,sign_agreement_cooling_non_cooling,top10_overlap,top20_overlap,top30_overlap,top_decile_overlap
b87e_original_main,context_mean,forcing_day_holdout,2,3000,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.3191943031946667,0.5526373888090685,-2.3744027577432547e-17,-5.7679234878316166e-06,0.248096116,0.5206597840000002,,,0.6646666666666667,0.2,0.275,0.3,0.08666666666666667
b87e_original_main,context_mean,group_kfold_cell,5,3000,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.3156865979,0.5359186360821914,0.0,-0.004294354894327834,0.23520507666666662,0.47803786600000037,0.09668189034685143,0.13672842098915078,0.6646666666666666,0.14,0.11000000000000001,0.10666666666666666,0.12666666666666668
b87e_original_main,context_mean,hour_holdout,5,3000,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.3201642377422222,0.5465220743402062,0.0,-0.02238247662335935,0.24810241600000005,0.5313120738333337,,,0.6646666666666666,0.0,0.29,0.3333333333333333,0.22000000000000003
b87e_original_main,context_mean,new_to_old_diagnostic,1,1500,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.29634862088,0.39078419423757915,-0.13944452400000001,-0.14420774257081348,0.29385212,0.40455094666666674,0.08592688736628493,0.13200387262097937,0.6593333333333333,0.0,0.0,0.0,0.12
b87e_original_main,context_mean,old_to_new_generalization,1,1500,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.3470065591466667,0.6931850802362403,0.13944452400000001,-0.027158283179545384,0.174801,0.8368617433333336,0.09937327906750516,0.13693939434119146,0.67,0.1,0.15,0.1,0.13333333333333333
b87e_original_main,context_mean,primary_role_holdout,4,1300,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.42747729785747696,0.6115503730282332,0.10945544494814811,-6.070156276481568,0.3320165336043771,0.9483308825336699,0.1330812897850817,0.16319341210806293,0.6119999999999999,0.1,0.0625,0.125,0.13666666666666666
b87e_original_main,context_mean,random_split_diagnostic,1,600,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.30078047287914356,0.47453586895850236,-0.04127198406201991,0.005661921882744614,0.257820128117376,0.4417517629385012,0.0748681888955349,0.11905260925502807,0.655,0.0,0.15,0.1,0.1
b87e_original_main,context_mean,spatial_bin_holdout,4,1500,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.37067066325990383,0.5522730424324764,0.060079497717715626,-0.23705921019038428,0.23540324563072587,0.7403036597236905,0.1317464216632402,0.16289282718095227,0.6583531746031747,0.05,0.1,0.1,0.14047619047619045
b87e_original_main,context_mean,typology_holdout,4,1460,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.34500206276236445,0.48661983394886493,-0.007163223342320502,-5.6483773982243815,0.243531544204862,0.706611464098997,0.09720177360728094,0.13757208034700533,0.6154381043605182,0.15,0.11250000000000002,0.18333333333333335,0.11868728334245573
b87e_original_main,elasticnet,forcing_day_holdout,2,3000,46,headline_n150_compatible,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence.",0.17159626468916359,0.27943061004129266,-3.155028321932818e-17,0.7443349446240697,0.10085475204747525,0.4055193498553484,0.6826804887497127,0.862794562161242,0.7113333333333334,0.55,0.7,0.8166666666666667,0.6966666666666667
