claim,status,evidence_source,required_wording,forbidden_wording,notes
System A estimates background WBGT-like heat-stress score,allowed_with_caveat,Sprint 1/1c LOSO reproduction; Sprint 2A/2B diagnostics,System A Level 1 provides a retrospective WBGT_A background heat-stress score.,System A validates local WBGT prediction.,Use WBGT-like score language; keep station-network and retrospective caveats.
System A predicts 100m local WBGT,forbidden,Claim boundary and no Level 2/local-cell validation,No local-cell WBGT is produced by Level 1.,100m local WBGT prediction; wbgt_cell_c; local_wbgt_c.,Cell-level local WBGT is outside Sprint 4A and System A Level 1.
P_ge31_diagnostic estimates retrospective probability of official WBGT >=31,allowed_with_caveat,Sprint 3B probability calibration,p_ge31_diagnostic is a retrospective diagnostic probability that official station-network WBGT >=31.,Official warning probability; prospective forecast probability.,Selected package: M4_like + logistic_score_calibration + blocked_date_calibration.
P_ge31_diagnostic is an official warning probability,forbidden,Sprint 3B caveats; no public-warning validation,Diagnostic companion only; not an official advisory.,Official warning probability; public health alert probability.,No policy threshold is defined here.
M4_like is the best LOSO regression baseline,allowed_with_caveat,Sprint 1c formal-hourly and Sprint 2A ablation metrics,M4_like is the current conservative default regression score under retrospective LOSO/formal-hourly diagnostics.,M4_like is universally best or operationally validated.,Blocked-date metrics are weaker; alternatives remain sensitivity candidates.
M4_like is temporally robust as sole primary,allowed_with_caveat,Sprint 2B blocked-date/future-holdout diagnostics,"M4_like remains usable as current default, with blocked-time caveats and future prospective evaluation required.",M4_like has proven prospective operational robustness.,Sprint 4B should design prospective forecast evaluation.
ge33 is ready for operational use,forbidden,Sprint 2C and Sprint 3B sparse-event diagnostics,ge33 remains exploratory only.,ge33 operational alert or reliable classifier.,Sparse events and weak/unstable performance.
Level 1 outputs can be consumed by System B as temporal severity,allowed_with_caveat,Output contract; claim boundary,"System B may consume timestamp_sgt, wbgt_a_score_c, p_ge31_diagnostic, and optional severity/screening flags as temporal severity inputs.",System B may treat Level 1 as local WBGT.,System B consumption must preserve temporal-score semantics.
Level 1 station residual can be used as cell modifier,forbidden,Sprint 2A/2B station residual diagnostics; contract forbidden outputs,Station residuals are diagnostics only.,Station residual correction becomes cell-level WBGT modifier.,Would silently upgrade Level 1 to Level 2/local-cell behavior.
System A output is prospective forecast skill,forbidden,Retrospective validation context,Prospective forecast skill is not yet established.,Operational forecast skill; real-time warning skill.,Sprint 4B should design the prospective evaluation.
System B can directly use station-level diagnostic rows as cell-level severity,forbidden,Output contract; System B consumption boundary,"System B should consume AOI-level temporal severity or explicitly documented temporal aggregation, not station rows as cell severity.",Station diagnostic row becomes cell-level heat severity.,Prevents station-network diagnostics from becoming 100m local WBGT or cell modifier.
