selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,auto_qa_flag,quick_map_check_status,only_question,replace_if,replacement_candidate_1,replacement_candidate_2,replacement_candidate_3,reviewer_notes,geometry_or_centroid_available,longitude_or_x,latitude_or_y
27,TP_0745,selected_new,added126,pending_b7_new_run,water_edge_or_blue_green_mixed,overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed,water,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0139,TP_0131,TP_0431,,True,103.8571304851816,1.34862835092078
30,TP_0349,selected_new,added126,pending_b7_new_run,grass_or_open_park,open_hardscape_high_svf|grass_or_open_park,park_open_space,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0431,TP_0157,TP_0158,,True,103.84005776573842,1.3368717203444058
31,TP_0864,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|grass_or_open_park,commercial,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0823,TP_0228,TP_0401,,True,103.8598262116649,1.3522457802403334
33,TP_0257,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0228,TP_0131,TP_0256,,True,103.86162312083924,1.333254107869127
34,TP_0379,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0881,TP_0131,TP_0228,,True,103.8409563267544,1.337776082225164
36,TP_0889,selected_new,added126,pending_b7_new_run,dense_built_or_low_open_pixel,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0256,,True,103.85623196506228,1.353150181379417
38,TP_0569,selected_new,added126,pending_b7_new_run,max_extreme_probe_proxy,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0373,TP_0431,TP_0581,,True,103.85533331165018,1.3432021815359
39,TP_0089,selected_new,added126,pending_b7_new_run,max_extreme_probe_proxy,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0373,TP_0431,TP_0581,,True,103.84095629893814,1.3287324366996809
41,TP_0587,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed|road_edge_or_high_road_fraction,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0122,TP_0131,TP_0090,,True,103.84544915062122,1.3441066154245174
42,TP_0170,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0131,TP_0617,TP_0122,,True,103.86162308990193,1.3305410144901968
