input_key,path,exists,file_size_bytes,row_count,column_count,unique_cells,forcing_day_count,hour_count,split_family_count,missing_required_columns,claim_boundary
b86d_oof_predictions_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_oof_predictions.csv,True,3851638,7310,27,150.0,2.0,5.0,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_combined_metrics_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_combined_pipeline_metrics.csv,True,8981823,8064,46,,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_spatial_metrics_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_metrics_by_spatial_bin.csv,True,1660,4,15,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_typology_metrics_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_metrics_by_typology.csv,True,6660,19,15,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_anchor_diagnostics_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_anchor_cell_diagnostics.csv,True,6611,21,12,5.0,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_neutral_diagnostics_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_neutral_boundary_diagnostics.csv,True,11256,39,14,9.0,,,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_worst_error_path,outputs\v12_surrogate\b8_6d_two_stage_surrogate\b86d_worst_error_inventory.csv,True,46237,100,17,15.0,2.0,5.0,5.0,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86c_safe_feature_catalog_path,outputs\v12_surrogate\b8_6c_feature_hardening\b86c_safe_feature_catalog.csv,True,48966,158,14,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86c_rejected_feature_catalog_path,outputs\v12_surrogate\b8_6c_feature_hardening\b86c_rejected_feature_catalog.csv,True,50391,131,14,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86c_feature_group_registry_path,outputs\v12_surrogate\b8_6c_feature_hardening\b86c_feature_group_registry.csv,True,29102,246,6,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86c_feature_set_registry_path,outputs\v12_surrogate\b8_6c_feature_hardening\b86c_feature_set_registry.csv,True,4335,7,9,,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86c_hardened_dataset_path,outputs\v12_surrogate\b8_6c_feature_hardening\b86c_hardened_surrogate_dataset.csv,True,4166325,1500,194,150.0,2.0,5.0,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
f5_pairwise_label_path,outputs\v12_surrogate\b8_5_f5_n150_multiforcing\b85_f5_pairwise_delta_by_cell_hour.csv,True,405931,1500,14,150.0,2.0,5.0,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
n150_feature_matrix_path,outputs\v12_systemb_n150_sample_design\n150_sampling_feature_matrix.csv,True,492061,981,45,981.0,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
candidate_universe_path,outputs\v12_systemb_n150_sample_design\n150_candidate_universe.csv,True,4159910,986,244,986.0,,,,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
