target_field,target_role,freeze_status,meaning,downstream_allowed,downstream_forbidden,caveat
tmrt_p90_c,primary_physical_target,n24_supported_primary_candidate,mixed-cell upper-tail radiant exposure,N150 label; surrogate label candidate; modifier derivation,local WBGT; observed truth; risk; hazard_score by itself,"N24-supported, not final AOI-wide canonical until N150/full-domain validation"
delta_tmrt_p90_c,primary_modifier_physical_delta,method_frozen_for_next_scale,p90 relative to same-hour same-scenario reference median,surrogate regression label candidate; M_rad derivation,Celsius ratio; local WBGT; hazard_score by itself; risk,reference-domain dependent
m_rad_pct01,canonical_normalized_modifier_candidate,method_frozen_for_next_scale,0-1 percentile rank of delta_tmrt_p90_c within same-hour same-scenario reference domain,future WBGT-conditioned radiative priority input,standalone hazard_score; standalone risk; observed truth; official warning,not final AOI-wide map until reference domain is full AOI / N150-derived prediction
tmrt_p75_c,required_companion,retained_required_companion,shoulder / stable upper-distribution companion,validation companion; robustness evidence,standalone canonical target unless spec is revised,"companion to p90, not replacement in B5"
tmrt_p95_c,required_companion,retained_required_companion,higher-tail companion,validation companion; tail sensitivity,standalone canonical target unless spec is revised,more tail-sensitive than p90
tmrt_mean_c,background_companion,retained_background_companion,cell-average radiant exposure,background diagnostics; validation companion,sole upper-tail target,may hide mixed-cell exposed pockets
tmrt_max_c,sensitivity_only,retained_sensitivity_only,pixel-level extreme / outlier sensitivity,outlier and edge-case sensitivity,primary target; observed truth; risk,too sensitive for canonical target use
pct_pixels_tmrt_ge_40,optional_threshold_area_companion,retained_optional_companion,percentage of focus-cell pixels above 40 C radiant threshold,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
pct_pixels_tmrt_ge_45,optional_threshold_area_companion,retained_optional_companion,percentage of focus-cell pixels above 45 C radiant threshold,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
pct_pixels_tmrt_ge_50,optional_threshold_area_companion,retained_optional_companion,percentage of focus-cell pixels above 50 C radiant threshold,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
pct_pixels_tmrt_ge_55,optional_threshold_area_companion,retained_optional_companion,percentage of focus-cell pixels above 55 C radiant threshold,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
m_rad_pct_provisional_legacy,legacy_n24_internal_modifier,not_canonical,"prior N24 provisional percentile rank, preserved only for traceability",legacy comparison and B4 traceability,canonical B5 modifier; final AOI-wide modifier,use m_rad_pct01 for B5-forward method checks
