cell_id,scenario,task_name,target_path,status,runtime_used,note,claim_boundary
TP_0972,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0015,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0015/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0431,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0431/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0016,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0016/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0564,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0564/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0650,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0650/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0410,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0410/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0674,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0674/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0851,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0851/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0168,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0168/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0212,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0212/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0460,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0460/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0623,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0623/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0969,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0969/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0651,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0651/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0127,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0127/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0622,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0622/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0677,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0677/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
