feature_set,column_name,feature_group,included,n_features_in_set,residual_two_stage,selection_reason,claim_boundary
b87e_original_main,forcing_day_id,context_forcing_time,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,hour_sgt,context_forcing_time,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,ped_access_shade_frac_proxy,shade_svf_radiative_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,ped_access_shade_length_m_proxy,shade_svf_radiative_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,overhead_patch_count,overhead_structure_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,overhead_total_area_m2,overhead_structure_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,overhead_mean_patch_area_m2,overhead_structure_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,sunlit_hot_pocket_proxy_frac,shade_svf_radiative_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,open_high_svf_low_shade_frac,shade_svf_radiative_proxy,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,water_edge_contact_frac,water_park_edge_context,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,park_edge_contact_frac,water_park_edge_context,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
b87e_original_main,hardscape_edge_contact_frac,water_park_edge_context,yes,46,no,exact B87E main feature set,"Surrogate/emulator of SOLWEIG simulated Tmrt deltas only; not observed truth, not WBGT, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature-importance evidence."
