cell_id,primary_role,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance_percentile,feature_coverage_status,true_vector_source_missing_flags,qa_priority,qa_question,recommended_action,notes,claim_boundary
TP_0972,typology_gap_fill,west_north,transport,TP_0037,TP_0676,0.9915764139590856,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,anchor_preferred_minimum_shortfall|p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0830,typology_gap_fill,east_north,water,TP_0542,TP_0115,0.9891696750902528,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0431,typology_gap_fill,east_south,transport,TP_0542,TP_0115,0.9843561973525872,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0858,typology_gap_fill,east_north,water,TP_0542,TP_0115,0.9831528279181708,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0564,typology_gap_fill,west_north,commercial,TP_0141,TP_0960,0.9783393501805054,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0650,typology_gap_fill,west_north,civic_institutional,TP_0141,TP_0565,0.9771359807460892,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0410,typology_gap_fill,west_south,residential,TP_0141,TP_0676,0.9759326113116726,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,spatial_bin_balance_review|p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0674,typology_gap_fill,west_north,civic_institutional,TP_0141,TP_0366,0.9747292418772564,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0851,typology_gap_fill,west_north,transport,TP_0542,TP_0676,0.9711191335740073,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0168,typology_gap_fill,east_south,transport,TP_0542,TP_0676,0.9699157641395908,missing_high_priority_source:connected shade corridor / shade continuity,connected_shade_corridor|pedestrian_network|tree_building_interaction|water_park_road_hardscape_edge,high,Does this candidate fill a feasible typology gap rather than reinforcing residential/transport concentration?,review,p95_sparse_feature_space_execution_risk,"B8.7-N300-PRE design/source review only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
