cell_id,svf_ready,dsm_ready,cdsm_ready,dem_ready,landcover_ready,met_forcing_ready,qgis_manual_check_ready,output_root_status,cell_tile_folder_ready,all_required_assets_ready,readiness_status,blocker_summary,next_action,metadata_only,not_run_ready,claim_boundary
TP_0972,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0015,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0431,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0016,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0564,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0650,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0410,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0674,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0851,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0168,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0212,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0460,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0623,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0969,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0651,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0127,no,no,no,no,no,yes,yes,WAITING_LOCAL_ROOTS,no,no,WAITING_LOCAL_ROOTS,waiting_local_roots=7,fill manual local-root CSV or expose local roots to the Codex environment,true,true,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
