metric,candidate_role,recommended_status,evidence_summary,advantages,risks,downstream_allowed_use,downstream_forbidden_use,caveat
tmrt_mean_c,background central-tendency companion,background_companion,mean-p90 Spearman=0.906; useful for checking whether p90 reflects broad heat or residual hot pockets.,Simple broad radiant exposure summary.,Can hide high-tail pockets in mixed cells.,Companion interpretation and plausibility check.,Do not use alone as final target or risk/hazard score.,Simulation-derived Tmrt central tendency only.
tmrt_p75_c,lower-tail shoulder companion,companion_required,p75-p90 Spearman=0.931; top6 Jaccard=0.607.,Shows whether p90 signal is supported by the distribution shoulder.,Less sensitive to hot pockets than p90.,Required companion for p90 robustness checks.,Do not treat as observed exposure truth.,N24 diagnostic companion only.
tmrt_p90_c,primary high-tail SOLWEIG-derived radiative exposure target candidate,n24_supported_primary_candidate,mean hour Spearman=0.993; p90-p75 Spearman=0.931; p90-ge50 Spearman=0.896; max-only tail share=0.125.,Captures mixed-cell upper-tail radiant exposure without relying on a single maximum pixel.,Still N24 sample evidence only; not observed truth and not final AOI-wide canonical target.,N24-supported System B target family candidate and reference for next target freeze discussion.,"Do not use as local WBGT, hazard_score, risk_score, official warning, observed validation, or final AOI-wide M_rad map.",Can be strengthened only within N24; canonical AOI-wide promotion needs accepted target freeze and downstream protocol.
tmrt_p95_c,upper-tail companion,companion_required,p95-p90 Spearman=0.858; captures hotter upper-tail behavior beyond p90.,Tests whether p90 misses stronger tail exposure.,More tail-sensitive than p90.,Required high-tail companion where p95 is not identical to p90.,Do not use as local WBGT or risk.,Simulation-derived upper-tail Tmrt only.
tmrt_max_c,extreme upper-bound sensitivity,sensitivity_only,max-p90 Spearman=0.660; max-only tail classes remain an explicit outlier check.,Flags extreme pixel behavior.,Most sensitive to isolated pixels and edge artifacts.,Sensitivity and QA diagnostic.,Do not use as primary target.,Maximum is not a robust mixed-cell target.
pct_pixels_tmrt_ge_40,threshold-area companion,optional_companion,aggregate N24 status=optional_companion; p90 Spearman=0.899; top6 Jaccard=0.569.,"Expresses the area share above a Tmrt threshold, useful for mixed-cell interpretation.",Threshold choice is policy/interpretation sensitive and still not pedestrian-accessibility masked.,Companion area-based interpretation for N24 target robustness.,"Do not convert directly into WBGT, hazard_score, risk_score, or warning classes.",Simulation-derived threshold area only.
pct_pixels_tmrt_ge_45,threshold-area companion,optional_companion,aggregate N24 status=optional_companion; p90 Spearman=0.899; top6 Jaccard=0.552.,"Expresses the area share above a Tmrt threshold, useful for mixed-cell interpretation.",Threshold choice is policy/interpretation sensitive and still not pedestrian-accessibility masked.,Companion area-based interpretation for N24 target robustness.,"Do not convert directly into WBGT, hazard_score, risk_score, or warning classes.",Simulation-derived threshold area only.
pct_pixels_tmrt_ge_50,threshold-area companion,optional_companion,aggregate N24 status=optional_companion; p90 Spearman=0.896; top6 Jaccard=0.477.,"Expresses the area share above a Tmrt threshold, useful for mixed-cell interpretation.",Threshold choice is policy/interpretation sensitive and still not pedestrian-accessibility masked.,Companion area-based interpretation for N24 target robustness.,"Do not convert directly into WBGT, hazard_score, risk_score, or warning classes.",Simulation-derived threshold area only.
pct_pixels_tmrt_ge_55,threshold-area companion,optional_companion,aggregate N24 status=optional_companion; p90 Spearman=0.906; top6 Jaccard=0.411.,"Expresses the area share above a Tmrt threshold, useful for mixed-cell interpretation.",Threshold choice is policy/interpretation sensitive and still not pedestrian-accessibility masked.,Companion area-based interpretation for N24 target robustness.,"Do not convert directly into WBGT, hazard_score, risk_score, or warning classes.",Simulation-derived threshold area only.
delta_tmrt_p90_c,derived p90 delta companion,derived_provisional_companion,Available from base-vs-overhead and provisional target tables; derived from p90/reference choices.,Makes hour/scenario-relative p90 differences explicit.,Not independent validation and sensitive to reference definition.,Companion for sensitivity and target-freeze discussion.,Do not treat as observed validation or final AOI-wide modifier.,Derived/provisional N24 metric only.
m_rad_pct_provisional,derived provisional relative modifier companion,derived_provisional_companion,N24-internal percentile-like modifier if provisional table is present.,Compact relative ranking within the N24 batch.,Relative rank hides absolute Tmrt differences and is not final AOI-wide M_rad_pct.,N24-internal companion only.,Do not publish as final AOI-wide M_rad map or use for System A/B coupling yet.,`n24_modifier_targets_provisional.csv` is N24-internal only.
