system,lane_id,lane_name,status,classification,branch,purpose,commands_recorded,configs,scripts,docs,output_dir,key_outputs,key_findings,accepted_conclusion,caveats,forbidden_claims,next_action,reentry_command
System A,A-L1H.0,high-tail residual decomposition,PASS_DIAGNOSTIC / not_declared_in_status_file,DIAGNOSTIC,not recorded; evidence in sibling_al1h codex/systema-development-dossier,"Diagnose WBGT_A high-tail compression, station bias, ge31 miss/hit/false-alarm behavior, and weather-regime context.",recorded in predecessor lane outputs; no command rerun for devlog,configs/v11/systema_l1h_residual_decomposition.yaml; configs/v11/systema_l1h_weather_regime_merge.yaml; configs/v11/systema_l1h_full_period_weather_merge.yaml,scripts/v11_l1h_run_residual_decomposition.py; scripts/v11_l1h_run_weather_regime_merge.py; scripts/v11_l1h_run_full_period_weather_merge.py,docs/v11/OpenHeat_SystemA_L1_high_tail_residual_decomposition_protocol_CN.md; docs/v11/OpenHeat_SystemA_L1H_weather_regime_residual_merge_CN.md; docs/v11/OpenHeat_SystemA_L1H_full_period_weather_merge_CN.md,outputs/v11_systema_l1_high_tail/residual_decomposition,outputs/v11_systema_l1_high_tail/residual_decomposition/high_tail_bias_report.md; outputs/v11_systema_l1_high_tail/residual_decomposition/residual_by_station.csv; outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/A_L1H_0C_STATUS.md,High-tail compression around ge31 was visible.; S142 station bias was a prominent caveat.; Weather-regime diagnostics supported review context but not causal proof.,Use as historical diagnostic context for Level 1 high-tail behavior only.,"Not a recalibration lane.; ge33 rows exploratory.; Weather regime is diagnostic, not causal.",validated local 100m WBGT; official warning probability; prospective forecast skill,No action unless reopening a separately scoped diagnostic review.,not_applicable
System A,A-L1H.1,formula/proxy audit,PASS / WEAK_OR_NEGATIVE,DIAGNOSTIC,not recorded,"Audit raw formula/proxy alternatives as a companion check, not retroactive recalibration.",python scripts/v11_l1h_run_formula_proxy_audit.py --config configs/v11/systema_l1h_formula_proxy_audit.yaml,configs/v11/systema_l1h_formula_proxy_audit.yaml,scripts/v11_l1h_formula_proxy_audit.py; scripts/v11_l1h_run_formula_proxy_audit.py,docs/v11/OpenHeat_SystemA_L1H_formula_proxy_audit_CN.md,outputs/v11_systema_l1_high_tail/formula_proxy_audit,outputs/v11_systema_l1_high_tail/formula_proxy_audit/A_L1H_1_STATUS.md; outputs/v11_systema_l1_high_tail/formula_proxy_audit/formula_overall_metrics.csv; outputs/v11_systema_l1_high_tail/formula_proxy_audit/formula_threshold_metrics_31_33.csv,Formula/proxy candidates stayed weak or negative versus WBGT_A.; Best raw formula remained a screening diagnostic.,Do not replace or retroactively recalibrate WBGT_A with formula/proxy candidates.,Screening diagnostics only.; ge33 remains exploratory.,formula-v2 implemented; validated replacement model; retroactive recalibration,No contract change.,python scripts/v11_l1h_run_formula_proxy_audit.py --config configs/v11/systema_l1h_formula_proxy_audit.yaml
System A,A-L1H.2,probability / threshold calibration,PASS_CANDIDATE_PROBABILITY_COMPANION,DIAGNOSTIC,not recorded,Create a retrospective station-held-out P_ge31 diagnostic companion from existing M4 scores.,python scripts/v11_l1h_run_probability_threshold_calibration.py --config configs/v11/systema_l1h_probability_threshold_calibration.yaml,configs/v11/systema_l1h_probability_threshold_calibration.yaml,scripts/v11_l1h_probability_threshold_calibration.py; scripts/v11_l1h_run_probability_threshold_calibration.py,docs/v11/OpenHeat_SystemA_L1H_probability_threshold_calibration_CN.md,outputs/v11_systema_l1_high_tail/probability_threshold_calibration,outputs/v11_systema_l1_high_tail/probability_threshold_calibration/A_L1H_2_STATUS.md; outputs/v11_systema_l1_high_tail/probability_threshold_calibration/probability_calibration_metrics.csv; outputs/v11_systema_l1_high_tail/probability_threshold_calibration/threshold_operating_points.csv,Best companion was M4_inertia_ridge plus isotonic_score_only.; Useful for retrospective internal diagnostics only.,P_ge31 can be a diagnostic companion while deterministic WBGT_A remains primary.,Station-held-out retrospective OOF only.; S142/S139 remain caveats.,official warning probability; policy threshold; prospective operational model,Feed A-L1H.4 companion suite and A-L1H.5 contract.,python scripts/v11_l1h_run_probability_threshold_calibration.py --config configs/v11/systema_l1h_probability_threshold_calibration.yaml
System A,A-L1H.3,high-tail challenger,PASS / RECALL_FIRST_DIAGNOSTIC,DIAGNOSTIC,not recorded,Benchmark constrained high-tail challengers against the accepted M4+isotonic P_ge31 diagnostic companion.,python scripts/v11_l1h3_run_high_tail_challenger.py --config configs/v11/systema_l1h3_high_tail_challenger.yaml,configs/v11/systema_l1h3_high_tail_challenger.yaml,scripts/v11_l1h3_high_tail_challenger.py; scripts/v11_l1h3_run_high_tail_challenger.py,docs/v11/OpenHeat_SystemA_L1H3_high_tail_challenger_CN.md,outputs/v11_systema_l1_high_tail/high_tail_challenger,outputs/v11_systema_l1_high_tail/high_tail_challenger/A_L1H_3_STATUS.md; outputs/v11_systema_l1_high_tail/high_tail_challenger/challenger_overall_metrics.csv; outputs/v11_systema_l1_high_tail/high_tail_challenger/high_tail_challenger_report.md,Cost-sensitive logistic score/weather improved recall but remained diagnostic.; No production replacement was accepted.,Recall-first challenger informs evidence but does not replace WBGT_A.,Retrospective station-held-out OOF only.; Regime/station structure not causal proof.,official warning probability; ge33 promotion; station causal correction,"Proceed to companion suite/contract, not A-L2 unless separately scoped.",python scripts/v11_l1h3_run_high_tail_challenger.py --config configs/v11/systema_l1h3_high_tail_challenger.yaml
System A,A-L1H.4,probability / exceedance companion suite,A_L1H4_COMPANION_PROMISING,ACCEPTED_WITH_BOUNDARY,not recorded,"Package P_ge31, expected exceedance, and interval diagnostics as optional companions while keeping WBGT_A primary.",python scripts/v11_l1h4_run_prob_exceedance_suite.py --config configs/v11/systema_l1h4_prob_exceedance_suite.yaml,configs/v11/systema_l1h4_prob_exceedance_suite.yaml,scripts/v11_l1h4_prob_exceedance_suite.py; scripts/v11_l1h4_run_prob_exceedance_suite.py,docs/v11/OpenHeat_SystemA_L1H4_prob_exceedance_suite_CN.md,outputs/v11_systema_l1_high_tail/prob_exceedance_suite,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/A_L1H4_STATUS.md; outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_report.md; outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_decision_matrix.csv,P_ge31 companion promising.; P_ge33 low support.; Expected exceedance and intervals available as diagnostics.,Keep WBGT_A as primary; optional companions only.,No formal prospective snapshot yet.; P_ge33 exploratory.; Near-ge33 interval support weak.,official warning probability; station-adjusted WBGT; local 100m WBGT; risk/hazard score,Use as evidence for A-L1H.5 output contract and future A-L1H.6 snapshot evaluation.,python scripts/v11_l1h4_run_prob_exceedance_suite.py --config configs/v11/systema_l1h4_prob_exceedance_suite.yaml
System A,A-L1H.5,model card / output contract,A_L1H5_CONTRACT_PASS,ACCEPTED_FROZEN,not recorded,Freeze System A Level 1 model card and hourly output contract.,python scripts/v11_l1h5_run_model_card_output_contract.py --config configs/v11/systema_l1h5_model_card_output_contract.yaml,configs/v11/systema_l1h5_model_card_output_contract.yaml,scripts/v11_l1h5_model_card_output_contract.py; scripts/v11_l1h5_run_model_card_output_contract.py,docs/v11/OpenHeat_SystemA_L1H5_model_card_output_contract_CN.md,outputs/v11_systema_l1_high_tail/model_card_output_contract,outputs/v11_systema_l1_high_tail/model_card_output_contract/A_L1H5_STATUS.md; outputs/v11_systema_l1_high_tail/model_card_output_contract/a_l1h5_systema_model_card.md; outputs/v11_systema_l1_high_tail/model_card_output_contract/a_l1h5_hourly_output_contract_v1.md,Primary output is wbgt_a_c.; P_ge31 optional companion; P_ge33 exploratory.; Level 2 explanatory only.,A-L1H.5 is frozen source of truth for System A Level 1 hourly outputs.,Prospective formal snapshot still required for stronger claims.,station_adjusted_wbgt_c; local_wbgt_c; delta_wbgt_cell; risk_score; hazard_score,Do not modify unless a future formal snapshot review explicitly opens a contract update lane.,python scripts/v11_l1h5_run_model_card_output_contract.py --config configs/v11/systema_l1h5_model_card_output_contract.yaml
System A,A-L1H.6,prospective eval harness,A_L1H6_WAITING_FOR_FORMAL_SNAPSHOT,BLOCKED_WAITING,not recorded,Prepare prospective evaluation gates for WBGT_A and optional companions after a frozen formal snapshot exists.,python scripts/v11_l1h6_run_prospective_eval_harness.py --config configs/v11/systema_l1h6_prospective_eval_harness.yaml,configs/v11/systema_l1h6_prospective_eval_harness.yaml,scripts/v11_l1h6_prospective_eval_harness.py; scripts/v11_l1h6_run_prospective_eval_harness.py,docs/v11/OpenHeat_SystemA_L1H6_prospective_eval_harness_CN.md,outputs/v11_systema_l1_high_tail/prospective_eval_harness,outputs/v11_systema_l1_high_tail/prospective_eval_harness/A_L1H6_STATUS.md; outputs/v11_systema_l1_high_tail/prospective_eval_harness/a_l1h6_promotion_gate.csv; outputs/v11_systema_l1_high_tail/prospective_eval_harness/a_l1h6_report.md,Harness ready.; Snapshot found false.; No fake prospective metrics written.,Harness is ready but blocked until formal snapshot exists.,WAITING is expected and acceptable.; No prospective pass before snapshot.,prospective evaluation complete; P_ge31 promoted; official warning probability,Rerun only after A-L1H.7 freezes a reviewed formal snapshot.,python scripts/v11_l1h6_run_prospective_eval_harness.py --config configs/v11/systema_l1h6_prospective_eval_harness.yaml
System A,A-L1H.7,formal snapshot freezer,A_L1H7_WAITING_FOR_FORMAL_INPUT,BLOCKED_WAITING,codex/systema-l1h7-formal-snapshot-freezer,Validate and freeze a real formal snapshot before prospective comparisons.,python scripts/v11_l1h7_run_formal_snapshot_freezer.py --config configs/v11/systema_l1h7_formal_snapshot_freezer.yaml,configs/v11/systema_l1h7_formal_snapshot_freezer.yaml,scripts/v11_l1h7_formal_snapshot_freezer.py; scripts/v11_l1h7_run_formal_snapshot_freezer.py; scripts/v11_l1h7_validate_frozen_snapshot.py,docs/v11/OpenHeat_SystemA_L1H7_formal_snapshot_freezer_CN.md,outputs/v11_systema_l1_high_tail/formal_snapshot_freezer,outputs/v11_systema_l1_high_tail/formal_snapshot_freezer/A_L1H7_STATUS.md; outputs/v11_systema_l1_high_tail/formal_snapshot_freezer/a_l1h7_freeze_readiness_check.csv; outputs/v11_systema_l1_high_tail/formal_snapshot_freezer/a_l1h7_report.md,No plausible formal snapshot candidate found.; Forbidden-column status passed for scanned candidates.,Freezer waits for real formal input; do not use live-growing archive as formal pass.,dry_run does not write formal snapshot data.; write_snapshot only after reviewed candidate passes checks.,fake formal snapshot; live archive as final formal evidence; weakened schema checks,Provide reviewed compact formal candidate; run write_snapshot; then run A-L1H.6.,python scripts/v11_l1h7_run_formal_snapshot_freezer.py --config configs/v11/systema_l1h7_formal_snapshot_freezer.yaml
System A,A-L1H.8,development dossier / frozen handoff,A_L1H8_DOSSIER_PASS,ACCEPTED_FROZEN_HANDOFF,codex/systema-development-dossier,"Consolidate System A evidence, contract, waiting register, claim boundaries, and re-entry prompt.",python scripts/v11_l1h8_run_development_dossier.py --config configs/v11/systema_l1h8_development_dossier.yaml,configs/v11/systema_l1h8_development_dossier.yaml,scripts/v11_l1h8_systema_development_dossier.py; scripts/v11_l1h8_run_development_dossier.py,docs/handoff/OpenHeat_SystemA_FROZEN_HANDOFF_2026-05-27_CN.md; docs/v11/OpenHeat_SystemA_development_dossier_2026-05-27_CN.md,outputs/v11_systema_l1_high_tail/systema_development_dossier,outputs/v11_systema_l1_high_tail/systema_development_dossier/A_L1H8_STATUS.md; outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_report.md; outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_lane_status_matrix.csv,System A frozen/waiting.; wbgt_a_c primary.; A-L1H.6 and A-L1H.7 wait for formal snapshot/input.; Level 2 explanatory only.,System A is frozen and ready for future formal snapshot reactivation only.,No model training.; No contract changes.; No System B coupling.,local 100m WBGT; official warning probability; station-adjusted WBGT; risk/hazard score,Future re-entry starts with A-L1H.7 only when a real formal snapshot exists.,python scripts/v11_l1h7_run_formal_snapshot_freezer.py --config configs/v11/systema_l1h7_formal_snapshot_freezer.yaml
System A,A-L2.0,identifiability,PASS,DIAGNOSTIC,codex/systema-l2-identifiability-preflight,Check whether station-context residual explanation is identifiable before any Level 2 modeling.,python scripts/v11_l2_run_identifiability_preflight.py --config configs/v11/systema_l2_identifiability_preflight.yaml,configs/v11/systema_l2_identifiability_preflight.yaml,scripts/v11_l2_run_identifiability_preflight.py,docs/v11/OpenHeat_SystemA_L2_identifiability_preflight_CN.md,outputs/v11_systema_l2_residual/identifiability_preflight,outputs/v11_systema_l2_residual/identifiability_preflight/A_L2_0_STATUS.md; outputs/v11_systema_l2_residual/identifiability_preflight/station_context_identifiability_matrix.csv,Station-context residual explanation warranted scoped preflight only.; No causal correction claimed.,Proceed only to scoped station-level preflight; exclude station_id.,Station count limited.; P_ge31 remains retrospective diagnostic.,station-context causal correction; station-adjusted WBGT,Proceed only to A-L2.1 scoped station features/preflight.,python scripts/v11_l2_run_identifiability_preflight.py --config configs/v11/systema_l2_identifiability_preflight.yaml
