feature_group,feature_column,available_in_dataset_contract,feature_role,primary_evidence_allowed,notes
b86b_baseline_features,svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,building_density,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,building_height_or_canyon_proxy,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,road_or_hardscape_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,tree_or_gvi_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,water_edge_or_water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,overhead_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,impervious_or_built_fraction,True,predictor_candidate,True,Compact non-target feature group member.
b86b_baseline_features,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,overhead_fraction,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__overhead_fraction_total,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__overhead_area_total_m2,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__overhead_weighted_shade_area_m2,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__overhead_fraction_covered_walkway,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__overhead_fraction_pedestrian_bridge,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__overhead_fraction_viaduct,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__shade_fraction_base_v10,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__shade_fraction_overhead_sens,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__shade_fraction_umep_10_16_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,cu__shade_fraction_umep_13_15_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
overhead_shade,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,building_density,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,building_height_or_canyon_proxy,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,impervious_or_built_fraction,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__svf,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__open_pixel_fraction,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__mean_building_height,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__building_height_p90,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__dsm_building_height_mean_m_v10,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__dsm_building_height_p90_m_v10,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__svf_umep_mean_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__svf_umep_p10_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,cu__svf_umep_p90_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
built_canyon_svf,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,tree_or_gvi_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
