audit_dimension,value,count,share,target_count_in_v2,verdict,v1_headline,claim_boundary
primary_role,typology_gap_fill,146,0.9733333333333334,50.0,overrepresented_in_v1,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
primary_role,anchor_like_replication,4,0.02666666666666667,25.0,review,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
spatial_bin,west_south,69,0.46,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
spatial_bin,west_north,56,0.37333333333333335,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
spatial_bin,east_south,21,0.14,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
spatial_bin,east_north,4,0.02666666666666667,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology,residential,93,0.62,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology,transport,42,0.28,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology,civic_institutional,6,0.04,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology,commercial,5,0.03333333333333333,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology,water,4,0.02666666666666667,,coverage_context,"N300 v1 is candidate-design only; dominant role=typology_gap_fill; B8.6f rebalances quotas across anchor, neutral, spatial, sparse, and controls.","SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
