feature_family,currently_available,safe_feature_count,rejected_or_metadata_feature_count,example_safe_features,example_rejected_or_metadata_features,coverage_note,claim_boundary
pedestrian-accessible shaded fraction,yes,40,4,cu__n_covered_walkway|cu__n_pedestrian_bridge|cu__overhead_area_covered_walkway_m2|cu__overhead_area_pedestrian_bridge_m2|cu__overhead_fraction_covered_walkway|cu__overhead_fraction_pedestrian_bridge|cu__pedestrian_shelter_fraction|cu__shade_fraction,cu__shade_fraction_source|cu__shade_fraction_source_v10_delta|shade_fraction_missing|shade_fraction_q01,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
connected shade corridor / shade continuity,no,0,0,,,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
overhead geometry shape descriptors,yes,16,2,cu__n_covered_walkway|cu__n_pedestrian_bridge|cu__n_viaduct|cu__overhead_area_covered_walkway_m2|cu__overhead_area_elevated_rail_m2|cu__overhead_area_elevated_road_m2|cu__overhead_area_pedestrian_bridge_m2|cu__overhead_area_total_m2,overhead_fraction_missing|overhead_fraction_q01,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
sunlit-hot-pocket area fraction,partial,48,5,cu__delta_open_pixel_fraction|cu__delta_svf_v08_minus_proxy|cu__delta_svf_v10_minus_v08|cu__n_open_pixels|cu__n_open_pixels_v10|cu__old_open_pixel_fraction|cu__open_pixel_fraction|cu__open_pixel_fraction_v10,cu__svf_source|cu__svf_source_v08|cu__svf_source_v10|svf_or_open_sky_missing|svf_or_open_sky_q01,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
local boundary / edge context,yes,3,2,cu__distance_to_park|cu__distance_to_water|water_edge_or_water_fraction,water_edge_or_water_fraction_missing|water_edge_or_water_fraction_q01,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
neighbourhood-scale context,yes,4,2,cu__land_use_hint|cu__large_park_distance_m|cu__park_distance_m|cu__water_distance_m,cu__land_use_fraction|cu__land_use_raw,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
tree/building shadow interaction,yes,89,16,building_density|building_height_or_canyon_proxy|cu__building_area_m2_v10|cu__building_density|cu__building_density_v08|cu__building_height_p90|cu__building_pixel_fraction|cu__building_pixel_fraction_v10,building_density_missing|building_density_q01|building_height_or_canyon_proxy_missing|building_height_or_canyon_proxy_q01|cu__building_source_v10|cu__overhead_shade_scope_method|cu__shade_fraction_source|cu__shade_fraction_source_v10_delta,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
canyon orientation / height roughness,yes,19,0,cu__building_height_p90|cu__delta_building_height_max_m|cu__delta_building_height_p90_m|cu__dsm_building_height_max_m_v10|cu__dsm_building_height_mean_m_v10|cu__dsm_building_height_p50_m_v10|cu__dsm_building_height_p90_m_v10|cu__dsm_max_height,,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
typology-specific geometry,yes,2,2,cu__land_use_hint|cu__typology_label,cu__typology_label_n24|typology_label,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
safe coordinate-context diagnostic,partial,0,13,,centroid_x|centroid_x_normalized|centroid_x_normalized_missing|centroid_x_normalized_q01|centroid_y|centroid_y_normalized|centroid_y_normalized_missing|centroid_y_normalized_q01,Compact table coverage only; this is not causal feature importance.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
